ID,Artists,Streams
1,"Post Malone, Swae Lee",3175741123
2,"Justin Bieber, The Kid LAROI",2895391893
3,"Billie Eilish, Khalid",2613586537
4,"Daft Punk, The Weeknd",2409981516
5,"Bad Bunny, Jhayco",2144499442
6,"Camila Cabello, Shawn Mendes",2085233216
7,"21 Savage, Post Malone",2075830835
8,"Ariana Grande, The Weeknd",1844222742
9,"21 Savage, Drake",1790802142
10,"Bradley Cooper, Lady Gaga",1748254196
11,"Jack Harlow, Lil Nas X",1632867564
12,"Bad Bunny, Chencho Corleone",1595512799
13,"DaBaby, Dua Lipa",1581435193
14,"Coldplay, The Chainsmokers",1482038011
15,"Bebe Rexha, David Guetta",1467843647
16,"Bizarrap, Quevedo",1466812232
17,"Imanbek, SAINt JHN",1401362181
18,"24kGoldn, iann dior",1384921894
19,"Doja Cat, SZA",1342273188
20,"Kim Petras, Sam Smith",1326886078
21,"Bastille, Marshmello",1317354189
22,"Camila Cabello, Young Thug",1305095150
23,"Rema, Selena Gomez",1269014452
24,"Bad Bunny, J Balvin",1267711695
25,"Jung Kook, Latto",1252362934
26,"Ed Sheeran & Justin Bieber, Justin Bieber",1240208815
27,"DaBaby, Roddy Ricch",1225578584
28,"Calvin Harris, Dua Lipa",1225387792
29,"Bad Bunny, Bomba Estéreo",1182016397
30,"Halsey, The Chainsmokers",1116016092
31,"Cardi B, Maroon 5",1086166262
32,"Eslabon Armado, Peso Pluma",1076299892
33,"Powfu, beabadoobee",1014794708
34,"Billy Ray Cyrus, Lil Nas X",1010618722
35,"KAROL G, Nicki Minaj",998276543
36,"Post Malone, Quavo",988054874
37,"Bad Bunny, Tainy",979459557
38,"Post Malone, Ty Dolla $ign",939827627
39,"Bad Bunny, Grupo Frontera",902327561
40,"Cardi B, Megan Thee Stallion",874285792
41,"French Montana, Swae Lee",873661515
42,"BTS, Coldplay",872919779
43,"Peso Pluma, Yng Lvcas",872337549
44,"Ed Sheeran, Khalid",871066452
45,"KAROL G, Shakira",843720506
46,"Drake, Future",832184117
47,"Khalid, Marshmello",820499398
48,"Daddy Yankee, Luis Fonsi",802325512
49,"Joel Corry, MNEK",785924030
50,"Em Beihold, Stephen Sanchez",778555746
51,"Jason Derulo, Jawsh 685",772646450
52,"Eminem, Juice WRLD",769770894
53,"Feid, Ozuna",766223621
54,"Calum Scott, Lost Frequencies",765580936
55,"Daddy Yankee, Snow",759270487
56,"Feid, Young Miko",747021292
57,"A7S, Topic",744945549
58,"Bizarrap, Shakira",737502479
59,"Bad Bunny, Drake",735049557
60,"Lana Del Rey, The Weeknd",730975803
61,"Anne-Marie, Marshmello",714909410
62,"Drake, Lil Baby",711812179
63,"J Balvin, Willy William",706794515
64,"Normani, Sam Smith",702710293
65,"Chencho Corleone, Rauw Alejandro",700022902
66,"Disclosure, Khalid",696345422
67,"Justin Bieber, Quavo",691205244
68,"Offset, Tyga",690276332
69,"Post Malone, Young Thug",689215910
70,"Gesaffelstein, The Weeknd",688627765
71,"Bebe Rexha, Florida Georgia Line",688386937
72,"Farruko, Pedro Capó",687647813
73,"Dynoro, Gigi D'Agostino",676704919
74,"Ice Spice, PinkPantheress",666819252
75,"Taylor Swift, ZAYN",664141828
76,"Kygo, Selena Gomez",657716663
77,"Maroon 5, SZA",651050835
78,"KAROL G, Peso Pluma",646559464
79,"Feid, Yandel",631334119
80,"Y2K, bbno$",610441444
81,"Ariana Grande, Lady Gaga",602784185
82,"Alessia Cara, Zedd",586741623
83,"Marshmello, Selena Gomez",586228775
84,"Calvin Harris, Rihanna",585925353
85,"Black Eyed Peas, J Balvin",579778398
86,"Junior H, Peso Pluma",571631362
87,"Camila Cabello, Ed Sheeran",571221486
88,"JP Saxe, Julia Michaels",570566236
89,"070 Shake, RAYE",565145951
90,"Drake, Rick Ross",564203247
91,"Clean Bandit, Zara Larsson",562297294
92,"BlocBoy JB, Drake",557605940
93,"Arcángel, Bad Bunny",556882346
94,"DJ Khaled, Drake",555136931
95,"Mustard, Roddy Ricch",553718428
96,"Central Cee, Dave",553546418
97,"Clean Bandit, Demi Lovato",546828888
98,"Goodboys, MEDUZA",544816971
99,"Bad Bunny, Daddy Yankee",541653443
100,"Maluma, Shakira",527312839
101,"Drake, Meek Mill",522394456
102,"Manuel Turizo, Ozuna",517125342
103,"Bad Bunny, ROSALÍA",512900063
104,"Kendrick Lamar, SZA",512716678
105,"Trippie Redd, XXXTENTACION",511902114
106,"Anuel AA, KAROL G",510990853
107,"Drake, Lil Durk",509862535
108,"Becky G, KAROL G",508562481
109,"Ariana Grande, Justin Bieber",504035633
110,"Emilee, Surf Mesa",503910352
111,"J Balvin, Zion & Lennox",503749818
112,"Brando, Loud Luxury",502428465
113,"Liam Payne, Quavo",502279002
114,"Gunna, Lil Baby",500846272
115,"Sia, ZAYN",494566732
116,"Dua Lipa, Martin Garrix",493933128
117,"Juice WRLD, Marshmello",488478895
118,"Dan + Shay, Justin Bieber",488230568
119,"ROSALÍA, Rauw Alejandro",487253474
120,"Coolio, L.V.",485584143
121,"J Balvin, Nicky Jam",483456853
122,"Khalid, Normani",483126319
123,"Doja Cat, Post Malone",482280122
124,"Bad Bunny, Rauw Alejandro",479414025
125,"Bad Bunny, Feid",478751142
126,"J Balvin, Maria Becerra",475638530
127,"Nicky Youre, dazy",473537915
128,"Metro Boomin, Offset",468474147
129,"ACRAZE, Cherish",461769872
130,"Aventura, Bad Bunny",460049685
131,"Rauw Alejandro, Shakira",459536080
132,"Demi Lovato, Luis Fonsi",455074445
133,"Natanael Cano, Peso Pluma",453149134
134,"Chance the Rapper, Justin Bieber",452244975
135,"Jonas Blue, William Singe",451460018
136,"Becky G, NATTI NATASHA",442126097
137,"Drake, Travis Scott",439779908
138,"Ava Max, Tiësto",437304511
139,"Carin Leon, Grupo Frontera",431728547
140,"Juhn, Myke Towers",430221400
141,"Jack & Jack, Jonas Blue",430111732
142,"Gucci Mane, Migos",428635211
143,"Bruno Mars, Cardi B",428430329
144,"Chris Brown, Drake",427403950
145,"BENEE, Gus Dapperton",427392173
146,"John Lennon, Yoko Ono",424742821
147,"B. Swanson Quartet, Frank Sinatra",423711069
148,"The Creator, Tyler",421336857
149,"Doja Cat, The Weeknd",420457390
