ID,Artists,Streams
1,Ed Sheeran,12941407717
2,Taylor Swift,11860608964
3,The Weeknd,10353320820
4,Bad Bunny,10028855310
5,Harry Styles,9311359761
6,Billie Eilish,9308150666
7,Olivia Rodrigo,8307518215
8,Ariana Grande,7643626635
9,Drake,7575173581
10,Post Malone,7354130568
11,XXXTENTACION,6624066687
12,Imagine Dragons,6351591899
13,Dua Lipa,6287197612
14,Travis Scott,5368529150
15,Doja Cat,4743195855
16,Juice WRLD,4641727043
17,Lewis Capaldi,4593114186
18,BTS,3851601832
19,Eminem,3665310890
20,Lil Nas X,3618050123
21,Arctic Monkeys,3387184411
22,SZA,3247842092
23,Justin Bieber,3181098713
24,Adele,2914160438
25,Bruno Mars,2882975865
26,Shawn Mendes,2829812244
27,Miley Cyrus,2824844430
28,Queen,2785792049
29,Tones And I,2722404836
30,The Neighbourhood,2715216521
31,OneRepublic,2614557442
32,Glass Animals,2569072993
33,Maluma,2510288915
34,Lil Uzi Vert,2470107316
35,KAROL G,2466453484
36,Sam Smith,2409077806
37,James Arthur,2336571055
38,Khalid,2275076920
39,Coldplay,2078678026
40,Kendrick Lamar,2054007414
41,Halsey,2049970354
42,Måneskin,1998726627
43,J. Cole,1996227500
44,BLACKPINK,1863426978
45,Manuel Turizo,1835938318
46,Ozuna,1773137168
47,Ava Max,1723814455
48,J Balvin,1635195276
49,Steve Lacy,1593739716
50,Maroon 5,1559694813
51,Tom Odell,1557777724
52,Selena Gomez,1547749335
53,NewJeans,1531009602
54,Feid,1510148507
55,Kanye West,1480752673
56,Joji,1453954545
57,d4vd,1448286672
58,Rauw Alejandro,1409158428
59,Farruko,1374583281
60,Charlie Puth,1321241035
61,Roddy Ricch,1308702183
62,Lizzo,1287200243
63,5 Seconds of Summer,1281739439
64,Conan Gray,1257611705
65,Jonas Brothers,1233812116
66,Lauv,1232227471
67,Camila Cabello,1226714901
68,Mariah Carey,1219298753
69,Pop Smoke,1191188769
70,Tate McRae,1190027418
71,Sia,1155874061
72,Avicii,1145821568
73,Michael Bublé,1123919487
74,Jack Harlow,1109832737
75,Ruth B.,1091312560
76,Lana Del Rey,1089029007
77,Danny Ocean,1078738752
78,Dean Lewis,1063430294
79,Chris Brown,1044869897
80,Arizona Zervas,1040456257
81,Quevedo,1024860373
82,Beyoncé,1023072688
83,Panic! At The Disco,1021746292
84,Trevor Daniel,1009010371
85,Cardi B,994639518
86,Lil Mosey,993313300
87,Vance Joy,959162796
88,The Chainsmokers,952339527
89,DaBaby,946525468
90,Lady Gaga,943866021
91,Paulo Londra,897904673
92,The Kid LAROI,895628598
93,Bazzi,895147416
94,Kali Uchis,893234197
95,blackbear,892967271
96,John Legend,881390144
97,Lil Tecca,873221023
98,ROSALÍA,869422852
99,JVKE,866961751
100,Morgan Wallen,861209087
101,Polo G,854392251
102,Wham!,853300418
103,Regard,848707271
104,21 Savage,821868303
105,Myke Towers,808905776
106,Tiësto,789030334
107,GAYLE,784254446
108,Masked Wolf,778977393
109,Demi Lovato,764330010
110,Kate Bush,753614642
111,The Walters,747796406
112,Future,745386802
113,Hozier,738400733
114,Twenty One Pilots,732092899
115,Rosa Linn,731846561
116,Childish Gambino,731513133
117,Rita Ora,723424378
118,Anne-Marie,719292581
119,Stephen Sanchez,703398307
120,FIFTY FIFTY,688789838
121,Niall Horan,688487378
122,Jimin,672604666
123,Daddy Yankee,671800085
124,Elley Duhé,663695650
125,Nirvana,648385989
126,The Police,640692244
127,Ali Gatie,638456940
128,Julia Michaels,637949839
129,Brenda Lee,633743706
130,David Kushner,622517611
131,The Killers,606118449
132,Migos,598286108
133,Bobby Helms,596065703
134,NF,592507585
135,Camilo,581009350
136,Axwell /\ Ingrosso,578181727
137,Sech,573336438
138,Central Cee,564496126
139,Rihanna,562216076
140,LISA,557081289
141,Alec Benjamin,547574289
142,One Direction,543921150
143,Cigarettes After Sex,538041451
144,Fuerza Regida,534390931
145,Miguel,533879212
146,Mabel,531203556
147,Giveon,519289468
148,Andy Williams,516015481
149,Lil Pump,512539008
150,Portugal. The Man,503940750
151,Sabrina Carpenter,501928669
152,Jason Derulo,498477337
153,Surfaces,497879372
154,Duncan Laurence,489483726
155,Meghan Trainor,487091723
156,CKay,479665166
157,Nicki Minaj,466662393
158,Tears For Fears,466641560
159,Don Toliver,463755647
160,Jaymes Young,461870187
161,Anitta,460062447
