Edge_Artist_1,Edge_Artist_2,Streams,Path,Path Length
The Weeknd,Travis Scott,209213542,The Weeknd → Bad Bunny → Travis Scott,2
LiL CaKe,Migrantes,209048841,LiL CaKe → Nico Valdi → Migrantes,2
LiL CaKe,Nico Valdi,209048841,LiL CaKe → Migrantes → Nico Valdi,2
Migrantes,Nico Valdi,209048841,Migrantes → LiL CaKe → Nico Valdi,2
Drake,Quavo,208728009,Drake → 21 Savage → Quavo,2
Majestic,Boney M.,207238320,,-1
KAROL G,Nicky Jam,207067378,KAROL G → Bad Bunny → Nicky Jam,2
21 Savage,JID,206932483,21 Savage → Baby Tate → JID,2
21 Savage,Baby Tate,206932483,21 Savage → JID → Baby Tate,2
JID,Baby Tate,206932483,JID → 21 Savage → Baby Tate,2
Wisin & Yandel,ROSALÍA,206875326,Wisin & Yandel → Ozuna → ROSALÍA,2
ZAYN,SHAED,206688452,,-1
Justin Quiles,Zion & Lennox,206516599,Justin Quiles → J Balvin → Zion & Lennox,2
Mc Don Juan,Dj GBR,206001418,Mc Don Juan → MC Ryan SP → Dj GBR,2
Khalid,6LACK,205369287,Khalid → Ty Dolla $ign → 6LACK,2
Khalid,Ty Dolla $ign,205369287,Khalid → Post Malone → Ty Dolla $ign,2
Ty Dolla $ign,6LACK,205369287,Ty Dolla $ign → Khalid → 6LACK,2
Crissin,Totoy El Frio,205340361,Crissin → KAROL G → Totoy El Frio,2
Crissin,Natan & Shander,205340361,Crissin → KAROL G → Natan & Shander,2
Totoy El Frio,Natan & Shander,205340361,Totoy El Frio → KAROL G → Natan & Shander,2
Post Malone,Ozzy Osbourne,205328388,Post Malone → Travis Scott → Ozzy Osbourne,2
Travis Scott,Ozzy Osbourne,205328388,Travis Scott → Post Malone → Ozzy Osbourne,2
David Guetta,Joel Corry,205268468,David Guetta → Charli XCX → Joel Corry,2
RAYE,Joel Corry,205268468,RAYE → David Guetta → Joel Corry,2
Rauw Alejandro,Dímelo Flow,204524028,Rauw Alejandro → Chencho Corleone → Dímelo Flow,2
Anuel AA,Zion & Lennox,203183259,Anuel AA → Bad Bunny → Zion & Lennox,2
Daddy Yankee,Zion & Lennox,203183259,Daddy Yankee → Bad Bunny → Zion & Lennox,2
Daddy Yankee,Wisin,203183259,Daddy Yankee → Bad Bunny → Wisin,2
Farruko,Wisin,203183259,Farruko → Bad Bunny → Wisin,2
Wisin,Zion & Lennox,203183259,Wisin → Bad Bunny → Zion & Lennox,2
Kanye West,Dwele,202966612,,-1
Rauw Alejandro,Mr. Naisgai,202803260,,-1
Future,Travis Scott,202753198,Future → Justin Bieber → Travis Scott,2
Sebastian Yatra,Carlos Vives,201832946,Sebastian Yatra → Nicky Jam → Shakira → Carlos Vives,3
Ozuna,Camilo,201691098,Ozuna → Selena Gomez → Camilo,2
Yandel,CNCO,201461259,Yandel → Daddy Yankee → David Guetta → Little Mix → CNCO,4
Travis Scott,Gunna,201045965,Travis Scott → Post Malone → Gunna,2
Dua Lipa,Sean Paul,199970201,Dua Lipa → J Balvin → Sean Paul,2
Don Omar,Lucenzo,199938670,,-1
Kygo,OneRepublic,199239110,Kygo → Imagine Dragons → Logic → OneRepublic,3
Bad Bunny,Buscabulla,198359825,,-1
The Vamps,Matoma,198069229,,-1
Future,Kendrick Lamar,196763778,Future → Taylor Swift → Kendrick Lamar,2
Taylor Swift,Lana Del Rey,195711243,Taylor Swift → Kendrick Lamar → The Weeknd → Lana Del Rey,3
Maluma,Piso 21,195487973,Maluma → Shakira → Manuel Turizo → Piso 21,3
Camila Cabello,Major Lazer,195204618,Camila Cabello → Ed Sheeran → Major Lazer,2
Camila Cabello,Travis Scott,195204618,Camila Cabello → Ed Sheeran → Travis Scott,2
Travis Scott,Major Lazer,195204618,Travis Scott → Justin Bieber → Major Lazer,2
Quavo,Major Lazer,195204618,Quavo → Justin Bieber → Major Lazer,2
Camila Cabello,mgk,194243479,Camila Cabello → WILLOW → mgk,2
Ozuna,Alex Sensation,193835148,,-1
Arijit Singh,Kumaar,193187863,Arijit Singh → Vishal-Shekhar → Kumaar,2
Swae Lee,Metro Boomin,192298172,Swae Lee → Drake → Metro Boomin,2
Kumaar,Shilpa Rao,192016278,Kumaar → Arijit Singh → Shilpa Rao,2
A$AP Rocky,Famous Dex,191727347,,-1
Rae Sremmurd,Gucci Mane,191159626,Rae Sremmurd → Swae Lee → Drake → Gucci Mane,3
Drake,Giveon,191151434,Drake → Lil Durk → Giveon,2
Maluma,Aya Nakamura,191138214,,-1
Pritam,Arijit Singh,190781626,Pritam → Amitabh Bhattacharya → Arijit Singh,2
Pritam,Amitabh Bhattacharya,190781626,Pritam → Arijit Singh → Amitabh Bhattacharya,2
Chencho Corleone,Chris Jedi,190680964,Chencho Corleone → Ozuna → Chris Jedi,2
Chencho Corleone,Anuel AA,190680964,Chencho Corleone → Bad Bunny → Anuel AA,2
Chencho Corleone,Ñengo Flow,190680964,Chencho Corleone → Bad Bunny → Ñengo Flow,2
Anuel AA,Chris Jedi,190680964,Anuel AA → Chencho Corleone → Chris Jedi,2
Anuel AA,Ñengo Flow,190680964,Anuel AA → Bad Bunny → Ñengo Flow,2
Chris Jedi,Ñengo Flow,190680964,Chris Jedi → Chencho Corleone → Ñengo Flow,2
Martin Garrix,Brooks,190243313,Martin Garrix → David Guetta → Brooks,2
Kendrick Lamar,Rihanna,190047623,Kendrick Lamar → Future → Rihanna,2
A Boogie Wit da Hoodie,NAV,189187043,A Boogie Wit da Hoodie → Swae Lee → NAV,2
A Boogie Wit da Hoodie,Pop Smoke,188630133,A Boogie Wit da Hoodie → Swae Lee → Pop Smoke,2
Nicki Minaj,Major Lazer,188578642,Nicki Minaj → PARTYNEXTDOOR → Major Lazer,2
Nicki Minaj,PARTYNEXTDOOR,188578642,Nicki Minaj → Drake → PARTYNEXTDOOR,2
PARTYNEXTDOOR,Major Lazer,188578642,PARTYNEXTDOOR → Nicki Minaj → Major Lazer,2
Drake,French Montana,188011040,Drake → Swae Lee → French Montana,2
A Boogie Wit da Hoodie,Kodak Black,187899929,A Boogie Wit da Hoodie → Juice WRLD → Kodak Black,2
Bizarrap,Nicki Nicole,187880389,Bizarrap → Duki → Nicki Nicole,2
Rauw Alejandro,Marc Seguí,187222211,Rauw Alejandro → Pol Granch → Marc Seguí,2
Rauw Alejandro,Pol Granch,187222211,Rauw Alejandro → Marc Seguí → Pol Granch,2
Marc Seguí,Pol Granch,187222211,Marc Seguí → Rauw Alejandro → Pol Granch,2
Myke Towers,Rochy RD,186980119,Myke Towers → Nicki Nicole → Rochy RD,2
Myke Towers,Nicki Nicole,186980119,Myke Towers → Rochy RD → Nicki Nicole,2
Nicki Nicole,Rochy RD,186980119,Nicki Nicole → Myke Towers → Rochy RD,2
Ed Sheeran,Chance the Rapper,185780568,Ed Sheeran → PnB Rock → Chance the Rapper,2
Ed Sheeran,PnB Rock,185780568,Ed Sheeran → Young Thug → PnB Rock,2
Chance the Rapper,PnB Rock,185780568,Chance the Rapper → Ed Sheeran → PnB Rock,2
Justin Timberlake,Chris Stapleton,185134955,Justin Timberlake → Calvin Harris → Khalid → Ed Sheeran → Chris Stapleton,4
J. Cole,Lil Durk,184952632,J. Cole → Drake → Lil Durk,2
Marshmello,Kane Brown,184788700,Marshmello → Khalid → Kane Brown,2
Anuel AA,Lunay,182772073,Anuel AA → Bad Bunny → Lunay,2
Marília Mendonça,Maiara & Maraisa,182298845,,-1
Lauv,Anne-Marie,182068515,Lauv → DJ Snake → Sean Paul → Anne-Marie,3
Rauw Alejandro,Baby Rasta,181762348,,-1
Sam Feldt,RANI,180642863,,-1
Feid,Sky Rompiendo,180518419,Feid → J Balvin → Sky Rompiendo,2
Feid,Myke Towers,180518419,Feid → Quevedo → Myke Towers,2
Myke Towers,Sky Rompiendo,180518419,Myke Towers → Feid → Sky Rompiendo,2
Future,Jay Rock,180344827,Future → Kendrick Lamar → Jay Rock,2
Future,James Blake,180344827,Future → 21 Savage → James Blake,2
Kendrick Lamar,James Blake,180344827,Kendrick Lamar → Future → James Blake,2
Jay Rock,James Blake,180344827,Jay Rock → Future → James Blake,2
Bizarrap,Rauw Alejandro,179188588,Bizarrap → Shakira → Rauw Alejandro,2
Cardi B,Nicki Minaj,178670224,Cardi B → Post Malone → Nicki Minaj,2
Migos,Nicki Minaj,178670224,Migos → Post Malone → Nicki Minaj,2
DENNIS,MC Kevin o Chris,177960206,,-1
XXXTENTACION,Kodak Black,177159883,XXXTENTACION → Lil Wayne → Kodak Black,2
Ozuna,Romeo Santos,176949791,Ozuna → KAROL G → Romeo Santos,2
Farruko,Alan Walker,176875061,Farruko → Sabrina Carpenter → Alan Walker,2
Farruko,Sabrina Carpenter,176875061,Farruko → Alan Walker → Sabrina Carpenter,2
Alan Walker,Sabrina Carpenter,176875061,Alan Walker → Farruko → Sabrina Carpenter,2
Capital Bra,Samra,176795959,Capital Bra → Luciano → Samra,2
Arijit Singh,Anirudh Ravichander,176777944,Arijit Singh → Kumaar → Anirudh Ravichander,2
Arijit Singh,Shilpa Rao,176777944,Arijit Singh → Vishal-Shekhar → Shilpa Rao,2
Kumaar,Anirudh Ravichander,176777944,Kumaar → Arijit Singh → Anirudh Ravichander,2
Shilpa Rao,Anirudh Ravichander,176777944,Shilpa Rao → Arijit Singh → Anirudh Ravichander,2
Anitta,ZAAC,176555938,Anitta → J Balvin → ZAAC,2
Charli XCX,Joel Corry,175190741,Charli XCX → David Guetta → Joel Corry,2
Charli XCX,Jax Jones,175190741,Charli XCX → Bebe Rexha → Jax Jones,2
Charli XCX,Saweetie,175190741,Charli XCX → Jax Jones → Saweetie,2
Jax Jones,Joel Corry,175190741,Jax Jones → Charli XCX → Joel Corry,2
Jax Jones,Saweetie,175190741,Jax Jones → Charli XCX → Saweetie,2
Joel Corry,Saweetie,175190741,Joel Corry → Charli XCX → Saweetie,2
Juice WRLD,Polo G,175092938,Juice WRLD → The Kid LAROI → Polo G,2
Ana Castela,Israel & Rodolffo,173811718,,-1
Duki,Nicki Nicole,172824914,Duki → Bizarrap → Nicki Nicole,2
Jhayco,Myke Towers,172752787,Jhayco → Quevedo → Myke Towers,2
Feid,Wisin,172424511,Feid → Bad Bunny → Wisin,2
Feid,Zion,172424511,Feid → Sech → Zion,2
Sech,Wisin,172424511,Sech → Bad Bunny → Wisin,2
Dalex,Wisin,172424511,Dalex → Feid → Wisin,2
Lenny Tavárez,Wisin,172424511,Lenny Tavárez → Feid → Wisin,2
Justin Quiles,Wisin,172424511,Justin Quiles → Feid → Wisin,2
Wisin,Rich Music LTD,172424511,Wisin → Feid → Rich Music LTD,2
Wisin,Zion,172424511,Wisin → Feid → Zion,2
Zion,Rich Music LTD,172424511,Zion → Feid → Rich Music LTD,2
Kygo,Sandro Cavazza,172320381,Kygo → Avicii → Sandro Cavazza,2
Dua Lipa,Megan Thee Stallion,172096336,Dua Lipa → DaBaby → Megan Thee Stallion,2
Future,Gunna,172037230,Future → Post Malone → Gunna,2
Ozuna,Luis Fonsi,171979092,Ozuna → Daddy Yankee → Luis Fonsi,2
KAROL G,Maldy,171667433,,-1
Stormzy,Jon Bellion,171568548,,-1
Nathan Evans,220 KID,171450449,,-1
Ofenbach,Norma Jean Martine,171228831,Ofenbach → Quarterhead → Norma Jean Martine,2
Bizarrap,Tiago PZK,170468423,Bizarrap → Duki → Tiago PZK,2
Post Malone,Roddy Ricch,169507515,Post Malone → DaBaby → Roddy Ricch,2
KYLE,Kehlani,169420702,KYLE → Lil Yachty → Kehlani,2
J Balvin,Reik,169278501,J Balvin → Ozuna → Reik,2
J Balvin,Lalo Ebratt,169278501,J Balvin → Reik → Lalo Ebratt,2
Reik,Lalo Ebratt,169278501,Reik → J Balvin → Lalo Ebratt,2
YNW Melly,9lokknine,168399483,,-1
Mike Posner,Seeb,168172791,Mike Posner → Anne-Marie → Marshmello → Selena Gomez → Coldplay → Seeb,5
Sebastian Yatra,Joey Montana,167765768,,-1
Alan Walker,Noah Cyrus,167614925,Alan Walker → Digital Farm Animals → Noah Cyrus,2
Alan Walker,Digital Farm Animals,167614925,Alan Walker → Noah Cyrus → Digital Farm Animals,2
Alan Walker,Juliander,167614925,Alan Walker → Noah Cyrus → Juliander,2
Noah Cyrus,Digital Farm Animals,167614925,Noah Cyrus → Alan Walker → Digital Farm Animals,2
Noah Cyrus,Juliander,167614925,Noah Cyrus → Alan Walker → Juliander,2
Digital Farm Animals,Juliander,167614925,Digital Farm Animals → Alan Walker → Juliander,2
Jhayco,Sech,167244275,Jhayco → Bad Bunny → Sech,2
J Balvin,Sky Rompiendo,166346588,J Balvin → Feid → Sky Rompiendo,2
Burak Yeter,Danelle Sandoval,166292891,,-1
David Guetta,Robin Schulz,166233112,David Guetta → Cheat Codes → Robin Schulz,2
David Guetta,Cheat Codes,166233112,David Guetta → Robin Schulz → Cheat Codes,2
Robin Schulz,Cheat Codes,166233112,Robin Schulz → David Guetta → Cheat Codes,2
21 Savage,Cardi B,166140473,21 Savage → Post Malone → Cardi B,2
Jason Derulo,French Montana,166099722,Jason Derulo → David Guetta → French Montana,2
Ed Sheeran,Stormzy,166062660,Ed Sheeran → Burna Boy → Stormzy,2
David Guetta,Galantis,165964295,David Guetta → Little Mix → Galantis,2
David Guetta,Little Mix,165964295,David Guetta → Anne-Marie → Little Mix,2
Little Mix,Galantis,165964295,Little Mix → David Guetta → Galantis,2
Sebastian Yatra,Mau y Ricky,165724104,Sebastian Yatra → Manuel Turizo → Mau y Ricky,2
Elton John,Ed Sheeran,165186441,Elton John → Dua Lipa → Young Thug → Ed Sheeran,3
Bizarrap,Milo j,164908281,Bizarrap → Taiu → Milo j,2
NLE Choppa,Roddy Ricch,164263881,NLE Choppa → Polo G → Marshmello → Roddy Ricch,3
MC Ryan SP,Dj GBR,164239151,MC Ryan SP → Mc Davi → Dj GBR,2
MC Ryan SP,Mc IG,164239151,MC Ryan SP → Mc Davi → Mc IG,2
MC Ryan SP,MC PH,164239151,MC Ryan SP → Mc Davi → MC PH,2
MC Ryan SP,Mc Davi,164239151,MC Ryan SP → Mc Don Juan → Mc Davi,2
MC Ryan SP,Mc Luki,164239151,MC Ryan SP → Mc Davi → Mc Luki,2
MC Ryan SP,Mc Don Juan,164239151,MC Ryan SP → Mc Davi → Mc Don Juan,2
MC Ryan SP,Mc Kadu,164239151,MC Ryan SP → Mc Davi → Mc Kadu,2
MC Ryan SP,TrapLaudo,164239151,MC Ryan SP → Mc Davi → TrapLaudo,2
MC Ryan SP,MC GP,164239151,MC Ryan SP → Mc Davi → MC GP,2
MC Ryan SP,MC GH do 7,164239151,MC Ryan SP → Mc Davi → MC GH do 7,2
Mc Davi,Dj GBR,164239151,Mc Davi → MC Ryan SP → Dj GBR,2
Mc Davi,Mc IG,164239151,Mc Davi → MC Ryan SP → Mc IG,2
Mc Davi,MC PH,164239151,Mc Davi → MC Ryan SP → MC PH,2
Mc Davi,Mc Luki,164239151,Mc Davi → MC Ryan SP → Mc Luki,2
Mc Davi,Mc Kadu,164239151,Mc Davi → MC Ryan SP → Mc Kadu,2
Mc Davi,TrapLaudo,164239151,Mc Davi → MC Ryan SP → TrapLaudo,2
Mc Davi,MC GP,164239151,Mc Davi → MC Ryan SP → MC GP,2
Mc Davi,MC GH do 7,164239151,Mc Davi → MC Ryan SP → MC GH do 7,2
Mc Don Juan,Mc IG,164239151,Mc Don Juan → MC Ryan SP → Mc IG,2
Mc Don Juan,MC PH,164239151,Mc Don Juan → MC Ryan SP → MC PH,2
Mc Don Juan,Mc Luki,164239151,Mc Don Juan → MC Ryan SP → Mc Luki,2
Mc Don Juan,Mc Kadu,164239151,Mc Don Juan → MC Ryan SP → Mc Kadu,2
Mc Don Juan,TrapLaudo,164239151,Mc Don Juan → MC Ryan SP → TrapLaudo,2
Mc Don Juan,MC GP,164239151,Mc Don Juan → MC Ryan SP → MC GP,2
Mc Don Juan,MC GH do 7,164239151,Mc Don Juan → MC Ryan SP → MC GH do 7,2
Dj GBR,Mc IG,164239151,Dj GBR → MC Ryan SP → Mc IG,2
Dj GBR,MC PH,164239151,Dj GBR → MC Ryan SP → MC PH,2
Dj GBR,Mc Luki,164239151,Dj GBR → MC Ryan SP → Mc Luki,2
Dj GBR,Mc Kadu,164239151,Dj GBR → MC Ryan SP → Mc Kadu,2
Dj GBR,TrapLaudo,164239151,Dj GBR → MC Ryan SP → TrapLaudo,2
Dj GBR,MC GP,164239151,Dj GBR → MC Ryan SP → MC GP,2
Dj GBR,MC GH do 7,164239151,Dj GBR → MC Ryan SP → MC GH do 7,2
Mc IG,MC PH,164239151,Mc IG → MC Ryan SP → MC PH,2
Mc IG,Mc Luki,164239151,Mc IG → MC Ryan SP → Mc Luki,2
Mc IG,Mc Kadu,164239151,Mc IG → MC Ryan SP → Mc Kadu,2
Mc IG,TrapLaudo,164239151,Mc IG → MC Ryan SP → TrapLaudo,2
Mc IG,MC GP,164239151,Mc IG → MC Ryan SP → MC GP,2
Mc IG,MC GH do 7,164239151,Mc IG → MC Ryan SP → MC GH do 7,2
MC PH,Mc Luki,164239151,MC PH → MC Ryan SP → Mc Luki,2
MC PH,Mc Kadu,164239151,MC PH → MC Ryan SP → Mc Kadu,2
MC PH,TrapLaudo,164239151,MC PH → MC Ryan SP → TrapLaudo,2
MC PH,MC GP,164239151,MC PH → MC Ryan SP → MC GP,2
MC PH,MC GH do 7,164239151,MC PH → MC Ryan SP → MC GH do 7,2
Mc Luki,Mc Kadu,164239151,Mc Luki → MC Ryan SP → Mc Kadu,2
Mc Luki,TrapLaudo,164239151,Mc Luki → MC Ryan SP → TrapLaudo,2
Mc Luki,MC GP,164239151,Mc Luki → MC Ryan SP → MC GP,2
Mc Luki,MC GH do 7,164239151,Mc Luki → MC Ryan SP → MC GH do 7,2
Mc Kadu,TrapLaudo,164239151,Mc Kadu → MC Ryan SP → TrapLaudo,2
Mc Kadu,MC GP,164239151,Mc Kadu → MC Ryan SP → MC GP,2
Mc Kadu,MC GH do 7,164239151,Mc Kadu → MC Ryan SP → MC GH do 7,2
TrapLaudo,MC GP,164239151,TrapLaudo → MC Ryan SP → MC GP,2
TrapLaudo,MC GH do 7,164239151,TrapLaudo → MC Ryan SP → MC GH do 7,2
MC GP,MC GH do 7,164239151,MC GP → MC Ryan SP → MC GH do 7,2
Peso Pluma,Jasiel Nuñez,163776398,Peso Pluma → Junior H → Jasiel Nuñez,2
David Guetta,Sean Paul,162652448,David Guetta → J Balvin → Sean Paul,2
David Guetta,Becky G,162652448,David Guetta → NATTI NATASHA → Becky G,2
Becky G,Sean Paul,162652448,Becky G → David Guetta → Sean Paul,2
Drake,Gunna,162099321,Drake → 21 Savage → Gunna,2
Robin Schulz,James Blunt,161722723,,-1
Zedd,Elley Duhé,161673954,Zedd → Shawn Mendes → Justin Bieber → David Guetta → Becky Hill → MEDUZA → Elley Duhé,6
Big One,Ke Personajes,160854107,Big One → FMK → Ke Personajes,2
FMK,Ke Personajes,160854107,FMK → Big One → Ke Personajes,2
J Balvin,Pharrell Williams,160601195,J Balvin → Camila Cabello → Pharrell Williams,2
J Balvin,BIA,160601195,J Balvin → Pharrell Williams → BIA,2
Pharrell Williams,BIA,160601195,Pharrell Williams → J Balvin → BIA,2
Pharrell Williams,Sky Rompiendo,160601195,Pharrell Williams → J Balvin → Sky Rompiendo,2
BIA,Sky Rompiendo,160601195,BIA → J Balvin → Sky Rompiendo,2
Tyga,YG,160546422,Tyga → Post Malone → YG,2
Justin Quiles,Chimbala,160492704,Justin Quiles → Zion & Lennox → Chimbala,2
Chimbala,Zion & Lennox,160492704,Chimbala → Justin Quiles → Zion & Lennox,2
J Balvin,Sean Paul,160205873,J Balvin → David Guetta → Sean Paul,2
The Weeknd,ROSALÍA,159275532,The Weeknd → Bad Bunny → ROSALÍA,2
The Weeknd,Juice WRLD,159074214,The Weeknd → Post Malone → Juice WRLD,2
Sebastian Yatra,Reik,158786160,Sebastian Yatra → Wisin → Reik,2
Drake,Rihanna,158463077,Drake → Future → Rihanna,2
Farruko,Maluma,158005048,Farruko → Ozuna → Maluma,2
Dalex,Maluma,158005048,Dalex → Rauw Alejandro → Maluma,2
Imanbek,BYOR,157504067,,-1
Farruko,Amenazzy,157241753,Farruko → Nicky Jam → Amenazzy,2
Daddy Yankee,Romeo Santos,156956150,Daddy Yankee → Ozuna → Romeo Santos,2
Young Miko,Bad Gyal,156834450,Young Miko → Tokischa → Bad Gyal,2
Young Miko,Tokischa,156834450,Young Miko → Bad Gyal → Tokischa,2
Tokischa,Bad Gyal,156834450,Tokischa → Young Miko → Bad Gyal,2
Camila Cabello,Pitbull,156787721,Camila Cabello → J Balvin → Pitbull,2
Camila Cabello,J Balvin,156787721,Camila Cabello → Ed Sheeran → J Balvin,2
J Balvin,Pitbull,156787721,J Balvin → Camila Cabello → Pitbull,2
Maluma,Ricky Martin,156103508,,-1
Bad Bunny,Cosculluela,156041501,Bad Bunny → Chencho Corleone → Cosculluela,2
Tyga,Jon Z,155426375,Tyga → YG → Jon Z,2
YG,Jon Z,155426375,YG → Tyga → Jon Z,2
Khalid,Swae Lee,154981495,Khalid → Post Malone → Swae Lee,2
Tion Wayne,Russ Millions,154836779,Tion Wayne → ArrDee → Russ Millions,2
Ofenbach,Quarterhead,154558615,Ofenbach → Norma Jean Martine → Quarterhead,2
Quarterhead,Norma Jean Martine,154558615,Quarterhead → Ofenbach → Norma Jean Martine,2
Post Malone,Nicki Minaj,154428197,Post Malone → Doja Cat → Nicki Minaj,2
Rita Ora,Liam Payne,154395594,Rita Ora → Jonas Blue → Liam Payne,2
Kali Uchis,Amaarae,154016663,Kali Uchis → Moliy → Amaarae,2
Kali Uchis,Moliy,154016663,Kali Uchis → Amaarae → Moliy,2
Amaarae,Moliy,154016663,Amaarae → Kali Uchis → Moliy,2
Ozuna,Lunay,152914494,Ozuna → Bad Bunny → Lunay,2
KAROL G,Crissin,152900986,KAROL G → J Balvin → Crissin,2
KAROL G,Totoy El Frio,152900986,KAROL G → J Balvin → Totoy El Frio,2
KAROL G,Natan & Shander,152900986,KAROL G → J Balvin → Natan & Shander,2
J Balvin,Crissin,152900986,J Balvin → KAROL G → Crissin,2
J Balvin,Totoy El Frio,152900986,J Balvin → KAROL G → Totoy El Frio,2
J Balvin,Natan & Shander,152900986,J Balvin → KAROL G → Natan & Shander,2
Nicky Jam,Crissin,152900986,Nicky Jam → KAROL G → Crissin,2
Nicky Jam,Totoy El Frio,152900986,Nicky Jam → KAROL G → Totoy El Frio,2
Nicky Jam,Natan & Shander,152900986,Nicky Jam → KAROL G → Natan & Shander,2
Sebastian Yatra,Manuel Turizo,152530786,Sebastian Yatra → Myke Towers → Manuel Turizo,2
Sebastian Yatra,Beéle,152530786,Sebastian Yatra → Manuel Turizo → Beéle,2
Manuel Turizo,Beéle,152530786,Manuel Turizo → Rauw Alejandro → Beéle,2
Peso Pluma,Kali Uchis,151338783,Peso Pluma → KAROL G → Kali Uchis,2
Nicki Minaj,Little Mix,151277585,Nicki Minaj → David Guetta → Little Mix,2
Shakira,Nicky Jam,150957974,Shakira → Bizarrap → Nicky Jam,2
Lil Uzi Vert,Oh Wonder,150146850,Lil Uzi Vert → Nicki Minaj → Oh Wonder,2
Post Malone,DaBaby,150135770,Post Malone → Future → DaBaby,2
Bad Bunny,NATTI NATASHA,149564907,Bad Bunny → Ozuna → NATTI NATASHA,2
Becky G,Daddy Yankee,149564907,Becky G → David Guetta → Daddy Yankee,2
Swae Lee,Juicy J,149561653,Swae Lee → Rae Sremmurd → Juicy J,2
Rae Sremmurd,Juicy J,149561653,Rae Sremmurd → Swae Lee → Juicy J,2
Slim Jxmmi,Juicy J,149561653,Slim Jxmmi → Swae Lee → Juicy J,2
Becky G,Prince Royce,148995129,Becky G → Bad Bunny → Prince Royce,2
Becky G,DJ Luian,148995129,Becky G → Bad Bunny → DJ Luian,2
Becky G,Mambo Kingz,148995129,Becky G → Bad Bunny → Mambo Kingz,2
Becky G,Anuel AA,148995129,Becky G → Bad Bunny → Anuel AA,2
Anuel AA,Prince Royce,148995129,Anuel AA → Bad Bunny → Prince Royce,2
Bad Bunny,The Marías,148941334,,-1
The Kid LAROI,Polo G,148814076,The Kid LAROI → Marshmello → Polo G,2
Bad Bunny,Travis Scott,148410249,Bad Bunny → Drake → Travis Scott,2
Bad Bunny,The Weeknd,148410249,Bad Bunny → Travis Scott → The Weeknd,2
Maluma,Reik,148128615,Maluma → Ozuna → Reik,2
Duki,Cris Mj,147382738,Duki → Nicki Nicole → Cris Mj,2
Duki,Standly,147382738,Duki → Nicki Nicole → Standly,2
Duki,Stars Music Chile,147382738,Duki → Nicki Nicole → Stars Music Chile,2
Nicki Nicole,Cris Mj,147382738,Nicki Nicole → Duki → Cris Mj,2
Nicki Nicole,Standly,147382738,Nicki Nicole → Duki → Standly,2
Nicki Nicole,Stars Music Chile,147382738,Nicki Nicole → Duki → Stars Music Chile,2
Cris Mj,Standly,147382738,Cris Mj → Duki → Standly,2
Cris Mj,Stars Music Chile,147382738,Cris Mj → Duki → Stars Music Chile,2
Standly,Stars Music Chile,147382738,Standly → Duki → Stars Music Chile,2
Jung Kook,FIFA Sound,147033524,Jung Kook → BTS → FIFA Sound,2
BTS,FIFA Sound,147033524,BTS → Jung Kook → FIFA Sound,2
Lil Skies,Landon Cube,146616851,,-1
Tiago PZK,Nicki Nicole,146611545,Tiago PZK → Bizarrap → Nicki Nicole,2
Bad Bunny,Enrique Iglesias,146227713,Bad Bunny → Anuel AA → Enrique Iglesias,2
Bizarrap,Trueno,145551656,Bizarrap → Tiago PZK → Trueno,2
Bizarrap,Taiu,145551656,Bizarrap → Nicki Nicole → Taiu,2
Bizarrap,TATOOL,145551656,Bizarrap → Nicki Nicole → TATOOL,2
Nicki Nicole,Trueno,145551656,Nicki Nicole → Bizarrap → Trueno,2
Nicki Nicole,Taiu,145551656,Nicki Nicole → Bizarrap → Taiu,2
Nicki Nicole,TATOOL,145551656,Nicki Nicole → Bizarrap → TATOOL,2
Taiu,Trueno,145551656,Taiu → Bizarrap → Trueno,2
Taiu,TATOOL,145551656,Taiu → Bizarrap → TATOOL,2
Trueno,TATOOL,145551656,Trueno → Bizarrap → TATOOL,2
Camilo,Evaluna Montaner,144797960,,-1
David Guetta,Jamie Scott,144794103,David Guetta → Martin Garrix → Jamie Scott,2
David Guetta,Romy Dya,144794103,David Guetta → Martin Garrix → Romy Dya,2
Martin Garrix,Jamie Scott,144794103,Martin Garrix → David Guetta → Jamie Scott,2
Martin Garrix,Romy Dya,144794103,Martin Garrix → David Guetta → Romy Dya,2
Jamie Scott,Romy Dya,144794103,Jamie Scott → David Guetta → Romy Dya,2
Dimitri Vegas & Like Mike,Dimitri Vegas,144007082,Dimitri Vegas & Like Mike → David Guetta → Dimitri Vegas,2
Camilo,El Alfa,143582236,Camilo → Ozuna → J Balvin → El Alfa,3
Taylor Swift,Ed Sheeran,143383970,Taylor Swift → Future → Ed Sheeran,2
Ozuna,Myke Towers,142901479,Ozuna → Bad Bunny → Myke Towers,2
Nicki Minaj,Katy Perry,142724957,Nicki Minaj → Calvin Harris → Katy Perry,2
Marshmello,Logic,142691584,Marshmello → Khalid → Logic,2
Selena Gomez,Gucci Mane,142031573,Selena Gomez → DJ Snake → Gucci Mane,2
Cartel De Santa,La Kelly,142016895,,-1
Future,SZA,141876608,Future → Justin Bieber → SZA,2
Labrinth,Zendaya,139278136,Labrinth → Sia → David Guetta → Justin Bieber → Dominic Fike → Zendaya,5
Quevedo,Myke Towers,139255452,Quevedo → Feid → Myke Towers,2
Bellakath,Dani Flow,138777705,,-1
Arijit Singh,Jasleen Royal,138568228,Arijit Singh → Harrykahanhai → Jasleen Royal,2
