Edge_Artist_1,Edge_Artist_2,Streams,Path,Path Length
Imagine Dragons,JID,1087592190,Imagine Dragons → Arcane → JID,2
JID,Arcane,1087592190,JID → Imagine Dragons → Arcane,2
JID,League of Legends,1087592190,JID → Imagine Dragons → League of Legends,2
Maroon 5,Cardi B,1086166262,Maroon 5 → A$AP Rocky → Cardi B,2
Peso Pluma,Eslabon Armado,1076299892,,-1
Anderson .Paak,Bruno Mars,1072452599,Anderson .Paak → Silk Sonic → Bruno Mars,2
Anderson .Paak,Silk Sonic,1072452599,Anderson .Paak → Bruno Mars → Silk Sonic,2
Bruno Mars,Silk Sonic,1072452599,Bruno Mars → Anderson .Paak → Silk Sonic,2
Lil Nas X,Billy Ray Cyrus,1026144006,Lil Nas X → Young Thug → Billy Ray Cyrus,2
Peso Pluma,Gabito Ballesteros,1023947399,Peso Pluma → Junior H → Gabito Ballesteros,2
Powfu,beabadoobee,1014794708,,-1
MEDUZA,Goodboys,1003558088,MEDUZA → Becky Hill → Goodboys,2
Zedd,Grey,998648631,Zedd → Maren Morris → Grey,2
KAROL G,Nicki Minaj,998276543,KAROL G → Anuel AA → Nicki Minaj,2
Post Malone,Quavo,988054874,Post Malone → Justin Bieber → Quavo,2
Justin Bieber,DJ Khaled,985702342,Justin Bieber → Post Malone → DJ Khaled,2
KAROL G,J Balvin,983407302,KAROL G → Bad Bunny → J Balvin,2
Chance the Rapper,DJ Khaled,979619004,Chance the Rapper → Justin Bieber → DJ Khaled,2
Chance the Rapper,Quavo,979619004,Chance the Rapper → Justin Bieber → Quavo,2
DJ Khaled,Quavo,979619004,DJ Khaled → Justin Bieber → Quavo,2
Khalid,benny blanco,979529313,Khalid → Justin Bieber → benny blanco,2
Khalid,Halsey,979529313,Khalid → Post Malone → Halsey,2
benny blanco,Halsey,979529313,benny blanco → BTS → Halsey,2
NAV,Gunna,963337423,NAV → Travis Scott → Gunna,2
Bad Bunny,Nio Garcia,951820243,Bad Bunny → Ozuna → Nio Garcia,2
Ozuna,DJ Snake,944532590,Ozuna → Selena Gomez → DJ Snake,2
Post Malone,Ty Dolla $ign,939827627,Post Malone → 21 Savage → Ty Dolla $ign,2
Future,Metro Boomin,933341057,Future → Drake → Metro Boomin,2
Ozuna,Darell,929562733,Ozuna → Bad Bunny → Darell,2
J Balvin,Nicky Jam,928762716,J Balvin → Bad Bunny → Nicky Jam,2
Ozuna,Cardi B,926961001,Ozuna → Bad Bunny → Cardi B,2
J Balvin,Anuel AA,925482916,J Balvin → Bad Bunny → Anuel AA,2
Sech,Dalex,915522102,Sech → Feid → Dalex,2
Selena Gomez,DJ Snake,911350846,Selena Gomez → Ozuna → DJ Snake,2
Sech,Lenny Tavárez,910670207,Sech → Feid → Lenny Tavárez,2
Bad Bunny,Cardi B,908062879,Bad Bunny → Ozuna → Cardi B,2
J Balvin,Cardi B,908062879,J Balvin → Bebe Rexha → Cardi B,2
