ID,Artists,Streams
1,"Arcane, Imagine Dragons, JID, League of Legends",1087592190
2,"Cardi B, DJ Snake, Ozuna, Selena Gomez",896064520
3,"Don Toliver, Gunna, Internet Money, NAV",872165018
4,"Macklemore, Macklemore & Ryan Lewis, Ray Dalton, Ryan Lewis",765986343
5,"Dopamine, Mufasa & Hypeman, Nightcrawlers, Riton",577050376
6,"Dan Caplen, Jess Glynne, Macklemore, Rudimental",493838843
7,"Bad Bunny, Dua Lipa, J Balvin, Tainy",483027771
8,"Alesso, Florida Georgia Line, Hailee Steinfeld, WATT",431998109
9,"Dzeko, Post Malone, Preme, Tiësto",394343157
10,"DaBaby, Jack Harlow, Lil Wayne, Tory Lanez",334212442
11,"Diplo, LSD, Labrinth, Sia",304587026
12,"Lil Pump, Maluma, Swae Lee, XXXTENTACION",294767929
13,"Arcángel, Chris Jedi, J Balvin, Ozuna",275609604
14,"Chance the Rapper, DJ Khaled, Justin Bieber, Quavo",258782051
15,"Diplo, Dua Lipa, Mark Ronson, Silk City",223732001
16,"Dalex, Dímelo Flow, Lenny Tavárez, Rauw Alejandro",204524028
17,"Camila Cabello, Major Lazer, Quavo, Travis Scott",195204618
18,"Anuel AA, Chencho Corleone, Chris Jedi, Ñengo Flow",190680964
19,"Future, James Blake, Jay Rock, Kendrick Lamar",180344827
20,"Anirudh Ravichander, Arijit Singh, Kumaar, Shilpa Rao",176777944
21,"Charli XCX, Jax Jones, Joel Corry, Saweetie",175190741
22,"Alan Walker, Digital Farm Animals, Juliander, Noah Cyrus",167614925
23,"BIA, J Balvin, Pharrell Williams, Sky Rompiendo",160601195
24,"Bad Bunny, Becky G, Daddy Yankee, NATTI NATASHA",149564907
25,"Juicy J, Rae Sremmurd, Slim Jxmmi, Swae Lee",149561653
26,"David Guetta, Jamie Scott, Martin Garrix, Romy Dya",144794103
27,"J Balvin, Maluma, Nicky Jam, Ozuna",134146384
28,"Bagua Records, Gustah, Neo Beats, Xamã",131288711
29,"J Balvin, Selena Gomez, Tainy, benny blanco",128974936
30,"Calvin Harris, Funk Wav, Future, Khalid",127822788
31,"El Chacal, IAmChino, Pitbull, Yandel",117267607
32,"A Boogie Wit da Hoodie, Metro Boomin, NAV, Swae Lee",112285319
33,"2 Chainz, Big Sean, Nicki Minaj, YG",107222661
34,"Daddy Yankee, Jonas Brothers, NATTI NATASHA, Sebastian Yatra",103506300
35,"Bvga Beatz, Prod Malax, Supernova Ent, Veigh",102605420
36,"David Guetta, Jason Derulo, Nicki Minaj, Willy William",100485345
37,"Juice WRLD, Marshmello, Polo G, The Kid LAROI",93766159
38,"2 Chainz, Jhené Aiko, Trey Songz, Ty Dolla $ign",93704380
39,"Emilia, Mesita, Nicki Nicole, Tiago PZK",85241269
40,"Khalid, Lorde, Post Malone, SZA",83774450
41,"A Boogie Wit da Hoodie, Mustard, NAV, Playboi Carti",76901724
42,"21 Savage, Metro Boomin, Offset, Travis Scott",75465884
