Artist ID,Artists,Streams
92,"Chris Jedi, J Balvin, Ozuna, Arcángel",4221563
93,"David Guetta, AFROJACK, Charli XCX, French Montana",4186165
94,"Imagine Dragons, JID, Arcane, League of Legends",9362278
95,"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",9277001
96,"Calvin Harris, Justin Timberlake, Halsey, Pharrell Williams",6252400
97,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",6144243
98,"Imagine Dragons, JID, Arcane, League of Legends",8585931
99,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",7872289
100,"MC K.K, Dj TG Beats, Dj Aurélio, MC Lipivox",6713237
101,"Sebastian Yatra, Daddy Yankee, NATTI NATASHA, Jonas Brothers",7393624
102,"DJ Snake, Selena Gomez, Ozuna, Cardi B",6026831
103,"Mustard, NAV, Playboi Carti, A Boogie Wit da Hoodie",5174402
104,"Rudimental, Jess Glynne, Macklemore, Dan Caplen",15193023
105,"Rae Sremmurd, Swae Lee, Slim Jxmmi, Juicy J",9045615
106,"Sia, Diplo, Labrinth, LSD",7864103
107,"Jay Rock, Kendrick Lamar, Future, James Blake",6323270
108,"Daddy Yankee, NATTI NATASHA, Becky G, Bad Bunny",6295292
109,"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT",6190249
110,"Rae Sremmurd, Swae Lee, Slim Jxmmi, Travis Scott",6043525
111,"Internet Money, Gunna, Don Toliver, NAV",16099376
112,"J Balvin, Dua Lipa, Bad Bunny, Tainy",7393995
113,"Jack Harlow, Tory Lanez, DaBaby, Lil Wayne",5556247
114,"Brent Faiyaz, Dahi, Tyler, The Creator",5136895
115,"Internet Money, Gunna, Don Toliver, NAV",17011524
116,"J Balvin, Dua Lipa, Bad Bunny, Tainy",7714034
117,"Jack Harlow, Tory Lanez, DaBaby, Lil Wayne",5573507
118,"Imagine Dragons, JID, Arcane, League of Legends",8936754
119,"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",8152714
120,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",6232477
121,"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT",12717970
122,"Martin Garrix, David Guetta, Jamie Scott, Romy Dya",7675768
123,"Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander",7136391
124,"21 Savage, Offset, Metro Boomin, Travis Scott",5282781
125,"David Guetta, AFROJACK, Charli XCX, French Montana",4951830
126,"Chris Jedi, J Balvin, Ozuna, Arcángel",4699675
127,"Imagine Dragons, JID, Arcane, League of Legends",13884842
128,"Pharrell Williams, 21 Savage, Tyler, The Creator",10861075
129,"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",9499747
130,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",5737857
131,"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",8285363
132,"Tiësto, Dzeko, Preme, Post Malone",21601280
133,"Nicky Jam, J Balvin, Maluma, Ozuna",11274253
