ID,Artist,Streams
243,Christian Nodal,74980061
244,PUBLIC,74839305
245,Sam Fischer,73755937
246,Henrique & Juliano,72481724
247,Social House,71824551
248,Brenda Lee,67979819
249,Bobby Helms,67909290
250,Rod Wave,67576257
251,Madison Beer,66114639
252,Twenty One Pilots,65348619
253,42 Dugg,64842096
254,Andy Williams,63868753
255,Zedd,63821520
256,Playboi Carti,63366844
257,Avicii,62985734
258,Frank Sinatra,62264074
259,Lil Durk,61164214
260,Idina Menzel,60549998
261,Wallows,59098458
262,Clairo,59098458
263,Stunna 4 Vegas,57980699
264,Mike WiLL Made-It,57980699
265,Peach Tree Rascals,57366343
266,Bing Crosby,57081806
267,Duki,56524605
268,Ty Dolla $ign,56489943
269,Rvssian,56064302
270,Piso 21,55719775
271,AURORA,55217766
272,Chance the Rapper,55007731
273,Trueno,54773689
274,Nicki Nicole,54773689
275,Bizarrap,54773689
276,Taiu,54773689
277,TATOOL,54773689
278,G-Eazy,54671723
279,Tate McRae,53565984
280,Red Velvet,52700432
281,Don Omar,52586578
282,Riton,51938790
283,Oliver Heldens,51938790
284,Vula,51938790
285,Ufo361,51935790
286,French Montana,51242212
287,Sleepy Hallow,50711031
288,Fousheé,50711031
289,Vance Joy,50435552
290,Band Aid,49925621
291,John Lennon,49354731
292,Yoko Ono,49354731
293,iann dior,48815095
294,Sia,48412874
295,B. Swanson Quartet,48078444
296,Niack,47836493
297,Lil Yachty,47752477
298,Dean Martin,47685864
299,Gusttavo Lima,47222860
300,José Feliciano,46795076
301,TWICE,46793430
302,Manuel Turizo,46580784
303,Loredana,46416443
304,Bonez MC,46277548
305,Bryant Myers,46205720
306,Mabel,45858737
307,G Herbo,45657385
308,Nat King Cole,45648814
309,Bebe Rexha,44756268
310,Morgan Wallen,44562811
311,TOKYO’S REVENGE,44421300
312,Jason Mraz,44274059
313,Quality Control,44249096
314,Jeremy Zucker,44222287
315,Kelly Clarkson,44177876
316,VIZE,43634477
317,ATR Son Son,43402897
318,ZAAC,43320594
319,Chris Rea,42465858
320,Vicetone,42438485
321,Tony Igy,42438485
322,Death Stranding: Timefall,42228837
323,KEVVO,41796659
324,Lyanno,41796659
325,Olivia Rodrigo,41755665
326,Disney,41755665
327,Paul McCartney,41697886
328,JS o Mão de Ouro,41204823
329,Dermot Kennedy,40775091
330,Brendon Urie,40407152
331,Martin Garrix,40389744
332,Yaviah,40099532
333,LEA,39720423
334,Troye Sivan,39096478
335,Wes,38634962
336,WanMor,38344473
337,"Royce Da 5'9""",37914929
338,Pablo Alborán,36388530
339,thasup,35722291
340,Headie One,35593666
341,ITZY,35300828
342,Tina Turner,34385883
343,Ant Clemons,34254471
344,Shakin' Stevens,34199484
345,Internet Money,34067285
346,Burl Ives,33977574
347,Romeo Santos,33674106
348,The Ronettes,33095492
349,Pashanim,33011440
350,Dadá Boladão,32701322
351,Tati Zaqui,32701322
352,OIK,32701322
353,Noriel,32307220
354,Almighty,32307220
355,Juanfran,31705691
356,SUGA,31310859
357,Oasis,31235241
358,Daryl Hall & John Oates,30552358
359,Perry Como,30169187
360,The Fontane Sisters,30169187
361,Mitchell Ayres & His Orchestra,30169187
362,The Pogues,30103466
363,Kirsty MacColl,30103466
364,Luísa Sonza,29999261
365,London On Da Track,29799004
366,Tyla Yaweh,29235093
367,FKA twigs,29221189
368,Skrillex,29221189
369,Two Maloka,29000831
370,DJ Léo da 17,29000831
371,Elvis Presley,28381906
372,BØRNS,28059938
373,Natalie Taylor,27823356
374,Heuss L'enfoiré,27782683
375,Dimitri Vegas & Like Mike,27635665
376,David Guetta,27635665
377,Afro Bros,27635665
378,Dimitri Vegas,27635665
379,Like Mike,27635665
380,Jorja Smith,27387527
381,Passenger,27205087
382,KHEA,26802861
383,Miksu / Macloud,26527736
384,Sandro Cavazza,26522830
385,The Jackson 5,26357474
386,Juju,25797636
387,SZA,25173317
388,Elton John,25039839
389,IU,25022226
390,Darlene Love,24930114
391,Pablo Chill-E,24181407
392,Alexander 23,23798137
393,Why Don't We,23544897
394,Tom Gregory,23065836
395,Mora,22696055
396,Gambi,22649396
397,Britney Spears,22210074
398,White Gold,22104455
399,Gradur,22103929
400,Meghan Trainor,21598074
401,Luciano,21590064
402,Enrique Iglesias,21440723
403,Yandel,21196673
404,Young M.A,21167554
405,Lexa,21103913
406,Rebecca,21103913
407,Thiaguinho MT,21098129
408,Mila,21098129
409,Zion & Lennox,21070900
410,Joker Bra,20568641
411,Justin Timberlake,20530243
412,Summer Walker,20491687
413,Migos,20440756
414,mgk,20314919
415,PEDRO SAMPAIO,20106694
416,Felipe Original,20106694
417,Fivio Foreign,20071523
418,Evaluna Montaner,20027454
419,Daft Punk,19989907
420,Clipse,19916542
421,Kenny G,19916542
422,Residente,19599184
423,Rowdy Rebel,19039993
424,Cazzu,19009264
425,Labrinth,18924070
426,Markim WF,18835662
427,Paulo Londra,18765994
428,Nimo,18455817
429,Matthew Wilder,18233325
430,Saweetie,18188963
431,The Killers,17605679
432,Skylar Grey,17410941
433,Sheck Wes,17383097
434,Sasha Alex Sloan,16887953
435,Offset,16715617
436,Jhené Aiko,16599992
437,H.E.R.,16599992
438,Becky G,16595794
439,Chuck Berry,15748432
440,Sfera Ebbasta,15573102
441,Bryson Tiller,15406864
442,KC Rebell,15311780
443,Bruce Springsteen,15285279
444,Summer Cem,15126906
445,MadeinTYO,15118962
446,Sido,15034086
447,Tyler,14962978
448,The Creator,14962978
449,Ezhel,14946245
450,Liz Gillies,14855541
451,Frank Ocean,14762538
452,KSI,14722092
453,Sosa Geek,14702818
454,One Direction,14591453
455,Jamule,14568113
456,DJ Luian,14545045
457,Mambo Kingz,14545045
458,Brytiago,14545045
459,Kendo Kaponi,14237075
460,Leona Lewis,14196993
461,Chael Produciendo,14088650
462,Sebastian Yatra,14069260
463,Dayvi,13984062
464,Victor Cardenas,13984062
465,Kelly Ruíz,13984062
466,Big Sean,13837710
467,Aloe Blacc,13761629
468,Blanco Brown,13713333
469,Puri,13625971
470,Jhorrmountain,13625971
471,David Bowie,13404003
472,Childish Gambino,13398852
473,Sub Urban,13099396
474,PnB Rock,13009351
475,Sunday Service Choir,12900186
476,Banda MS de Sergio Lizárraga,12848688
477,Snoop Dogg,12848688
478,Ninho,12708631
479,YUNGBLUD,12402011
480,Logic,12305780
481,Super Yei,12066119
482,Sammy,12066119
483,Jone Quest,12066119
484,Towy,12066119
485,Osquel,12066119
486,Beltito,12066119
487,Sammy & Falsetto,12066119
488,The Cratez,11536368
489,Fred Hammond,11183853
490,RIN,10879816
491,Bausa,10820715
492,Zak Abel,10719057
493,Bosh,10691967
494,True Damage,10662332
495,Keke Palmer,10662332
496,JEON SOYEON,10662332
497,Duckwrth,10662332
498,Thutmose,10662332
499,League of Legends,10662332
500,Omar Montes,10592239
501,Bad Gyal,10592239
502,Shirin David,10553932
503,Marracash,10401867
504,Calvin Harris,9916755
505,Kendrick Lamar,9898641
506,Jay Rock,9898641
507,Murda,9886144
508,Macklemore,9814661
509,Tego Calderón,9721879
510,Kylie Minogue,9558863
511,C. Tangana,9431948
512,Paloma Mami,9431948
513,TINI,9386488
514,Anderson .Paak,9328951
515,KITSCHKRIEG,9152119
516,SFR,9152119
517,BANNERS,9045157
518,Chief Keef,9039518
519,Dynoro,9009547
520,Gigi D'Agostino,9009547
521,twocolors,8920627
522,Agust D,8908179
523,Journey,8828011
524,Tony Bennett,8728038
525,Black Thought,8695060
526,Q-Tip,8695060
527,Denaun,8695060
528,The Police,8624541
529,Gwen Stefani,8232193
530,Blake Shelton,8232193
531,*NSYNC,7972211
532,Lenny Santos,7793597
533,Eartha Kitt,7750451
534,Henri René and His Orchestra,7750451
535,Stevie Wonder,7721272
536,Shania Twain,7534857
537,Lil Dicky,7493188
538,Mykola Dmytrovych Leontovych,7362398
539,John Williams,7362398
540,Brett Eldredge,7300443
541,Pentatonix,7258363
542,KXNG Crooked,7115414
543,Joell Ortiz,7115414
544,The Puppini Sisters,6854610
545,Hava,6818219
546,Donny Hathaway,6768688
547,T-Pain,6740180
548,Jerry Di,6677147
549,Ella Fitzgerald,6639061
550,6LACK,6483001
551,Liam Payne,6368370
552,Kofs,6335268
553,Soso Maness,6335268
554,Elams,6335268
555,Jul,6335268
556,SCH,6335268
557,Naps,6335268
558,Solda,6335268
559,Houari,6335268
560,13 Organisé,6335268
561,Syd,6224412
562,Rymez,6224166
563,Train,6207695
564,Céline Dion,6199243
565,The Beach Boys,6186790
566,Gzuz,6113037
567,Shiva,5995116
568,Eiffel 65,5995116
569,j-hope,5933462
570,Alessia Cara,5905949
571,Zuna,5878493
572,SRNO,5878493
573,Kim Petras,5867930
574,Kontra K,5867111
575,Bozza,5827600
576,Boney M.,5781047
577,A$AP Ferg,5768616
578,Sky Rompiendo,5745393
579,Maes,5656775
580,Booba,5656775
581,Clueso,5600868
582,AK AUSSERKONTROLLE,5494500
583,AJ Tracey,5454544
584,CRO,5440253
585,SuperM,5421847
586,Gabriela,5364262
587,Evan Rachel Wood,5332232
588,ELIF,5297101
589,Madonna,5254969
590,Missy Elliott,5254969
591,The Blessed Madonna,5254969
592,Clinton Kane,5186141
593,Shablo,5171235
594,Geolier,5171235
595,YG,5120047
596,Carlos Santana,5120047
597,CÉLINE,5113459
598,USHER,5084823
599,Mr Eazi,5044774
600,Fall Out Boy,5034351
601,Red Velvet - IRENE & SEULGI,5030481
602,K CAMP,4994448
603,Blueface,4949532
604,Wyclef Jean,4918636
605,Tion Wayne,4914429
606,Swarmz,4914429
607,jetsonmade,4861875
608,Sonus030,4823401
609,Macklemore & Ryan Lewis,4780310
610,Ryan Lewis,4780310
611,Ray Dalton,4780310
612,S-X,4777684
613,Dardan,4701388
614,Monet192,4701388
615,AC/DC,4660169
616,KALIM,4629320
617,Jorge & Mateus,4623030
618,Tierra Whack,4601709
619,A$AP Rocky,4601709
620,Little Mix,4593343
621,Bring Me The Horizon,4545883
622,jxdn,4435538
623,The 1975,4429092
624,Boomdabash,4374448
625,Alessandra Amoroso,4374448
626,RAF Camora,4311097
