ID,Artist,Streams
1,Bad Bunny,6360596555
2,The Weeknd,3666876896
3,Doja Cat,3308291580
4,Olivia Rodrigo,3243026962
5,Ed Sheeran,3115615818
6,Justin Bieber,3022843663
7,Lil Nas X,2713371534
8,Dua Lipa,2527085669
9,Harry Styles,2519496818
10,Drake,2175517553
11,Rauw Alejandro,2076721074
12,Adele,1918431494
13,BTS,1906136915
14,The Kid LAROI,1903898431
15,Jack Harlow,1835246037
16,Billie Eilish,1567766625
17,Post Malone,1289218494
18,Glass Animals,1281750439
19,Imagine Dragons,1249151183
20,Taylor Swift,1167598585
21,Måneskin,1148671714
22,Elton John,1073350148
23,KAROL G,1069973523
24,Coldplay,1055487083
25,Bruno Mars,1052271068
26,Jhayco,1049925158
27,Eminem,1038160847
28,J Balvin,1028508402
29,The Neighbourhood,1023688636
30,PNAU,960701123
31,Ariana Grande,959208929
32,Kanye West,934060362
33,Farruko,918899176
34,Tiësto,907938905
35,SZA,844067323
36,CKay,831983260
37,Chencho Corleone,775239661
38,Kendrick Lamar,754599994
39,Arcane,753888287
40,League of Legends,753888287
41,Future,731220307
42,JID,726759730
43,GAYLE,708307307
44,Camila Cabello,692602936
45,Sech,672503915
46,Giveon,669279985
47,DaBaby,623077376
48,Anderson .Paak,618934706
49,Silk Sonic,618934706
50,Tainy,618806316
51,LISA,581496545
52,Lewis Capaldi,577821025
53,Maria Becerra,558052661
54,Lost Frequencies,540682037
55,Calum Scott,540682037
56,Young Thug,535508793
57,Polo G,517129569
58,Travis Scott,516261484
59,Tiago PZK,512228599
60,Shawn Mendes,510859542
61,Daniel Caesar,487246416
62,Juice WRLD,486639323
63,WILLOW,476426591
64,Avicii,472654231
65,Julieta Venegas,469323206
66,Aventura,460049685
67,Sebastian Yatra,447321238
68,ACRAZE,432177035
69,Cherish,432177035
70,21 Savage,431833957
71,Justin Quiles,426021133
72,Arctic Monkeys,423248749
73,Mora,422676617
74,Becky G,422134704
75,Jaymes Young,412150667
76,The Walters,412028122
77,Labrinth,401590723
78,Stephanie Beatriz,399113659
79,Ruth B.,394343881
80,Tom Odell,392153027
81,Maroon 5,392022267
82,OneRepublic,391134089
83,Nirvana,380294338
84,Marília Mendonça,373578971
85,Khalid,371375182
86,Ava Max,369272715
87,Tate McRae,367331806
88,BoyWithUke,363588001
89,Elley Duhé,362691593
90,Megan Thee Stallion,358331437
91,Steve Lacy,355390102
92,Anuel AA,345931296
93,Swae Lee,335753149
94,zzoilo,334419386
95,Aitana,334419386
96,Encanto - Cast,334324436
97,Lenny Tavárez,333929159
98,Queen,333434761
99,Dj Yo!,327263732
100,AX'EL,327263732
101,Bizarrap,325697310
102,Project Pat,324393523
103,Myke Towers,319585866
104,Surf Curse,319090834
105,Gunna,318837740
106,Diane Guerrero,315727291
107,Maluma,315131855
108,Conan Gray,301606981
109,Sleepy Hallow,301244353
110,XXXTENTACION,297324214
111,Lil Baby,296527759
112,Joel Corry,296385435
113,Swedish House Mafia,295006243
114,24kGoldn,292308859
115,iann dior,292308859
116,Oliver Tree,292260155
117,Charlie Puth,290421749
118,Kali Uchis,289636808
119,Daddy Yankee,289362028
120,THE ANXIETY,287702449
121,Tyler Cole,287702449
122,Bomba Estéreo,287256114
123,Cris Mj,285420175
124,J. Cole,280177196
125,Tones And I,273744889
126,Anitta,270851950
127,Carolina Gaitán - La Gaita,267949875
128,Mauro Castillo,267949875
