ID,Artist,Streams
1,Ed Sheeran,4253650512
2,Justin Bieber,3062374427
3,Drake,2497101516
4,Daddy Yankee,2316509258
5,The Chainsmokers,2231388660
6,Kendrick Lamar,2117478215
7,Quavo,1951294475
8,J Balvin,1794700833
9,Luis Fonsi,1663462437
10,Khalid,1484271345
11,Migos,1422434195
12,Post Malone,1420992789
13,The Weeknd,1328255160
14,Alessia Cara,1325088520
15,Ozuna,1316090049
16,Future,1295240192
17,Selena Gomez,1276078376
18,Calvin Harris,1264046312
19,Nicki Minaj,1232250457
20,Lil Uzi Vert,1185805293
21,Rihanna,1181060544
22,Camila Cabello,1151001508
23,Maluma,1144523384
24,Imagine Dragons,1137902351
25,Travis Scott,1122947114
26,DJ Khaled,1080147714
27,Taylor Swift,1005498060
28,Dua Lipa,990363028
29,Clean Bandit,988861616
30,Bruno Mars,983592197
31,ZAYN,964268839
32,Martin Garrix,952915974
33,Shawn Mendes,949581559
34,Kygo,943985194
35,Daft Punk,919899681
36,21 Savage,901010808
37,Wisin,869023839
38,Katy Perry,866879713
39,Zedd,848577451
40,Gucci Mane,848307081
41,Zion & Lennox,845980457
42,Ty Dolla $ign,842433173
43,Cheat Codes,840089953
44,Charlie Puth,832826074
45,Lil Wayne,824781147
46,Major Lazer,820653655
47,Coldplay,802739304
48,Big Sean,791024875
49,Halsey,782633338
50,Maroon 5,775060866
51,Chance the Rapper,722793249
52,Bebe Rexha,710163979
53,Demi Lovato,685174340
54,XXXTENTACION,682267121
55,Zara Larsson,657882784
56,Jonas Blue,641245962
57,Swae Lee,639310546
58,Shakira,638561713
59,French Montana,631615847
60,Pharrell Williams,602255578
61,David Guetta,597086018
62,Sean Paul,590155741
63,Hailee Steinfeld,586308074
64,Anne-Marie,584699605
65,Willy William,580532722
66,Jason Derulo,569142780
67,Logic,562074461
68,Young Thug,556163809
69,Lil Yachty,532604154
70,Funk Wav,530813659
71,MØ,530130990
72,CNCO,523968640
73,DJ Snake,523834465
74,Nicky Jam,521503052
75,James Arthur,512244470
76,Julia Michaels,510871633
77,Sia,503947021
78,Liam Payne,503061770
79,Yandel,499914142
80,Ariana Grande,492289972
81,Sam Smith,487111552
82,Bad Bunny,485601206
83,Kodak Black,468828935
84,Twenty One Pilots,450748346
85,Danny Ocean,449887832
86,Bryson Tiller,439937255
87,Rita Ora,439145219
88,Louis Tomlinson,427297602
89,Frank Ocean,423857731
90,SZA,418912058
91,Niall Horan,415504522
92,Rae Sremmurd,389623012
93,Sebastian Yatra,383996105
94,Starley,378596557
95,Ryan Riback,378596557
96,Lauv,376298342
97,RAYE,375273060
98,William Singe,374656727
99,Marshmello,366070250
100,KYLE,365725976
101,Farruko,364161755
102,Alan Walker,358981395
103,Axwell /\ Ingrosso,355733771
104,Harry Styles,352818749
105,Avicii,349456935
106,Wizkid,342047885
107,Kyla,342047885
108,Macklemore,339555224
109,Martin Jensen,335307150
110,Enrique Iglesias,335165937
111,Jax Jones,328185257
112,Robin Schulz,327340400
113,Seeb,322487321
114,Maggie Lindemann,316349201
115,CADE,316349201
116,PARTYNEXTDOOR,313863899
117,Childish Gambino,312668327
118,Little Mix,310799015
119,Lorde,301727841
120,Descemer Bueno,297281298
121,JP Cooper,281969509
122,Piso 21,276716881
123,Pitbull,274055328
124,Cardi B,273463413
125,Troye Sivan,271813492
126,Daya,261546143
127,Grey,260272353
128,G-Eazy,259928259
129,2 Chainz,256991492
130,Nacho,256600035
131,Skip Marley,255089003
132,Metro Boomin,252274662
133,mgk,251431080
134,Skylar Grey,251038503
135,Miley Cyrus,250499518
136,Eminem,243833337
137,Chris Jedi,241763948
138,Digital Farm Animals,238657114
139,BloodPop®,235920381
140,Arcángel,234782518
141,Sam Hunt,231250740
142,Fifth Harmony,230933012
143,AJR,222210107
144,Playboi Carti,217319098
145,Steve Aoki,216794932
146,Justin Timberlake,214967127
147,Alok,213352546
148,Zeeba,213352546
149,Bruno Martini,213352546
150,Ellie Goulding,212723886
151,OneRepublic,209410548
152,Anuel AA,209161498
153,Jon Bellion,204079754
154,Zacari,199309785
155,Manuel Turizo,198614506
156,Lady Gaga,198156385
157,The Vamps,198069229
158,Matoma,198069229
159,Stormzy,196927281
160,Jowell & Randy,192339084
161,Kesha,189708917
162,Rag'n'Bone Man,189152276
163,Carlos Vives,188392199
164,Florida Georgia Line,186607578
165,Portugal. The Man,186224538
166,Adele,185600199
167,Linkin Park,181908028
168,P!nk,174652467
169,Mike Posner,171660853
170,Sandro Cavazza,170706692
171,A Boogie Wit da Hoodie,168941333
172,Burak Yeter,166292891
173,Danelle Sandoval,166292891
174,BIA,160601195
175,Sky Rompiendo,160601195
176,James Blunt,158436446
177,Ricky Martin,156103508
178,blackbear,151929263
179,DRAM,149078891
180,John Legend,146868413
181,Lil Pump,143758731
182,Becky G,140836711
183,Offset,139173661
184,Beyoncé,137271584
185,Kehlani,132455237
186,Chris Brown,128278940
187,Alesso,122876053
188,Mambo Kingz,121202951
189,DJ Luian,121202951
190,Phoebe Ryan,120558753
191,A$AP Rocky,120302161
192,Desiigner,119097758
193,Aminé,117380722
194,IAmChino,117267607
195,El Chacal,117267607
196,Sage The Gemini,116189090
197,NF,113435970
198,Snakehips,111735595
199,WATT,111190549
200,Justin Jesso,109619722
201,Lord Huron,108751584
202,Kiiara,107047256
203,J. Cole,105347758
204,Oh Wonder,104791683
205,Galantis,104035894
206,Anitta,103265914
207,Petit Biscuit,99383057
208,Lana Del Rey,97801244
209,Jhené Aiko,97707093
210,Yo Gotti,96535331
211,Don Omar,96447517
212,Noah Cyrus,94807385
213,Ayo & Teo,94286778
214,Romeo Santos,94115370
215,Trippie Redd,93732625
216,Trey Songz,93704380
217,NATTI NATASHA,91642894
218,Wiz Khalifa,89513164
219,X Ambassadors,86427524
220,Fetty Wap,84729530
221,Alex Sensation,82129253
222,Lukas Graham,80408196
223,Skrillex,80090321
224,Poo Bear,80090321
225,,79820964
226,Sigala,79780653
227,Ella Eyre,79780653
228,DNCE,79024379
229,Olivia Holt,78421862
230,Kungs,75824507
231,Cookin' On 3 Burners,75824507
232,gnash,75368928
233,Olivia O'Brien,75368928
234,Cashmere Cat,74859135
235,Vice,74643102
236,Rvssian,73304864
237,Giggs,67665399
238,Gente De Zona,67369584
239,Labrinth,66606732
240,Luke Christopher,65589960
241,A$AP Ferg,65252258
242,ItaloBrothers,65096770
243,Abraham Mateo,63899723
244,Christian Daniel,63899723
245,NEIKED,63309733
246,Dyo,63309733
247,Stefflon Don,61441050
248,Nate Dogg,61304063
249,Isaiah Firebrace,59931948
250,Oasis,59243827
251,Joey Montana,58671932
252,Emily Warren,58296196
253,Nyla,58287631
254,Gavin James,57382302
255,Nevada,56500936
256,Mark Morrison,56500936
257,Sabrina Carpenter,56435157
258,Fuse ODG,55063944
259,BTS,54965364
260,Flo Rida,54938725
261,Cali Y El Dandee,54432909
262,Charly Black,53434935
263,99 Percent,52265128
264,Marc E. Bassy,51885319
265,Rob $tone,50604083
266,J. Davi$,50604083
267,J Spooks,50604083
268,LANY,49297366
269,Tay-K,49001948
270,Ofenbach,48060651
271,KAROL G,47992156
272,FRENSHIP,47959157
273,Andy Grammer,46997144
274,Hearts & Colors,46223688
275,Andrelli,46223688
276,U2,45685938
277,Black Coffee,45416280
278,Jorja Smith,45416280
279,Pabllo Vittar,45185827
280,The Killers,44765419
281,Chino & Nacho,44741169
282,Jesse & Joy,44329884
283,A R I Z O N A,42311752
284,Jasmine Thompson,42131896
285,Skizzy Mars,42131896
286,Big Shaq,41854784
287,Marian Hill,39920065
288,Thomas Rhett,39559639
289,Moon Taxi,39474323
290,Aaron Carter,39089078
291,Shaggy,39028544
292,Stanaj,38669233
293,NOTD,38669233
294,Slim Jxmmi,38521533
295,Mike Perry,37831593
296,shy martin,37831593
297,XYLØ,36913732
298,Prince Royce,36161756
299,Felix Jaehn,35975127
300,Hight,35975127
301,Alex Aiono,35975127
302,James Bay,35758685
303,Shawn Hook,35006351
304,Vanessa Hudgens,35006351
305,DVBBS,34951697
306,CMC$,34951697
307,Gia Koka,34951697
308,Dakota,34652363
309,San Holo,33804161
310,Dimitri Vegas & Like Mike,33655309
311,Dimitri Vegas,33655309
312,Felix Snow,33181546
313,Hook N Sling,32721533
314,Calum Scott,31768840
315,Kid Ink,30863304
316,Paramore,30747945
317,MAX,30668813
318,Bausa,30648167
319,Bipolar Sunshine,29887071
320,Sampha,29491962
321,Charli XCX,29372417
322,Tory Lanez,28624678
323,CVBZ,28228594
324,Ky-Mani Marley,27259259
325,Flume,26675858
326,NAV,26587089
327,Passenger,26418004
328,Tyler,25976750
329,The Creator,25976750
330,Knox Fortune,25689612
331,Mura Masa,25116893
332,Mariah Carey,25046582
333,Cash Cash,24963585
334,Conor Maynard,24963585
335,Juliander,24691937
336,Gorillaz,24537087
337,Zay Hilfigerrr,23632275
338,Zayion McCall,23632275
339,Michael Bublé,23629488
340,Kris Kross Amsterdam,23075830
341,Jennifer Lopez,23039700
342,KREAM,22089401
343,Clara Mae,22089401
344,Kanye West,21709403
345,kai,21130298
346,Astrid S,20179607
347,The xx,20065204
348,ROZES,20036413
349,Bag Raiders,19448068
350,Trap Capos,18406112
351,Noriel,18406112
352,Bryant Myers,18406112
353,Juhn,18406112
354,The Night Game,18300544
355,The Script,17562527
356,Dalmata,17479969
357,Ryan Gosling,17434155
358,Emma Stone,17434155
359,Young M.A,16985801
360,MC G15,16100612
361,Wham!,15764949
362,Nego do Borel,15683841
363,Maite Perroni,15404365
364,N.E.R.D,15122013
365,AFROJACK,15029176
366,Lil Xan,14976246
367,Dante Klein,14975243
368,Jeremih,14960077
369,Kane Brown,14896115
370,Lauren Alaina,14896115
371,Fall Out Boy,14861124
372,Milky Chance,14631677
373,R3HAB,14324209
374,Quintino,14324209
375,USHER,14265873
376,Rich The Kid,14023776
377,Nause,13918853
378,Pretty Sister,13918853
379,Nick Jonas,13752041
380,Lil Peep,13681201
381,Lauren Jauregui,13652693
382,Rudimental,12833526
383,MiC LOWRY,12671636
384,Maren Morris,12337911
385,JAY-Z,11879884
386,Tove Lo,11413686
387,KALEO,9802890
388,James Hersey,9555506
389,State of Sound,9277402
390,Popcaan,9115642
391,La La Land Cast,8946259
392,PnB Rock,8771750
393,Famous Dex,8734473
394,Hozier,8718978
395,Yebba,8589331
396,Damian Lemar Hudson,7945520
397,Vince Staples,7432920
398,Andy Williams,7232257
399,Steve Lacy,7186095
400,Bobby Helms,7055550
401,De La Ghetto,6981430
402,John Mayer,6676092
403,George Michael,6159490
404,Thomas Gold,6043095
405,Jillian Edwards,6043095
406,Frank Sinatra,5981969
407,B. Swanson Quartet,5981969
408,Bing Crosby,5949789
