ID,Artist,Streams
1,Drake,2238527510
2,Post Malone,1567441059
3,XXXTENTACION,1140828750
4,J Balvin,858714270
5,Bad Bunny,829866662
6,Khalid,797662366
7,Ozuna,707601647
8,Cardi B,659190963
9,Dua Lipa,535813646
10,Nicky Jam,519515003
11,Ariana Grande,430923380
12,Ed Sheeran,409959543
13,Juice WRLD,366345382
14,Demi Lovato,351109294
15,Kanye West,349169909
16,Shawn Mendes,346661551
17,Ty Dolla $ign,336281959
18,Anne-Marie,333452057
19,Marshmello,323191191
20,Imagine Dragons,314973806
21,NATTI NATASHA,313067046
22,Becky G,312729202
23,Calvin Harris,312341972
24,David Guetta,298087888
25,Maluma,292422937
26,Nicki Minaj,290423387
27,Maroon 5,280608215
28,Selena Gomez,280101843
29,Offset,266067067
30,Sia,262835948
31,Darell,248686520
32,Clean Bandit,235580033
33,Childish Gambino,232476946
34,Swae Lee,222726626
35,Nio Garcia,219677398
36,Casper Magico,219677398
37,5 Seconds of Summer,217154131
38,Kendrick Lamar,211720920
39,Daddy Yankee,206845759
40,21 Savage,198525908
41,The Chainsmokers,197151572
42,Tyga,195073591
43,Bebe Rexha,194493598
44,Camila Cabello,192458836
45,Jess Glynne,191839020
46,Martin Garrix,187967569
47,Kygo,185505259
48,Billie Eilish,177689946
49,Wisin,172217704
50,Zion & Lennox,170096557
51,A$AP Rocky,168686001
52,Lil Uzi Vert,167541796
53,Tiësto,166620739
54,Dzeko,166620739
55,Preme,166620739
56,Zedd,161250043
57,Dennis Lloyd,160824919
58,Avicii,148091598
59,Kehlani,146758488
60,Maren Morris,145736030
61,Grey,145736030
62,Lil Baby,144120209
63,Michael Jackson,142594948
64,SZA,142503531
65,BTS,139682187
66,Florida Georgia Line,138985504
67,Piso 21,133283873
68,Rudimental,133174733
69,BlocBoy JB,133115810
70,The Weeknd,131544167
71,Normani,128978285
72,Luis Fonsi,127233810
73,Reik,124985439
74,Travis Scott,123636313
75,Logic,121082506
76,Macklemore,120745760
77,Dan Caplen,120745760
78,Jonas Blue,116213307
79,Jack & Jack,116213307
80,Manuel Turizo,115733126
81,Diplo,115276140
82,Quavo,113692361
83,Skepta,113309087
84,Halsey,113241544
85,Migos,112970966
86,Lil Dicky,111425779
87,Chris Brown,111425779
88,6LACK,108117506
89,Young Thug,107659869
90,Sofía Reyes,107253746
91,Jason Derulo,107253746
92,De La Ghetto,107253746
93,KYLE,106901272
94,Trippie Redd,103968483
95,Lil Pump,102441739
96,Famous Dex,101423089
97,Paulo Londra,97522924
98,Bazzi,96980859
99,Alvaro Soler,95953116
100,Wolfine,94973254
101,Miguel,94805606
102,6ix9ine,92883841
103,KIDS SEE GHOSTS,92497327
104,Rae Sremmurd,90856068
105,Slim Jxmmi,90856068
106,Rich The Kid,88738241
107,Labrinth,86364356
108,LSD,86364356
109,French Montana,84046629
110,Lauv,83666038
111,Beyoncé,83123493
112,Rita Ora,83077099
113,Danny Ocean,82117601
114,Loud Luxury,81924148
115,Brando,81924148
116,Liam Payne,81511007
117,Cosculluela,81151782
118,Sebastian Yatra,79367943
119,Metro Boomin,78963553
120,Anitta,76840280
121,Drew Love,76509926
122,ZAYN,76342928
123,Bruno Mars,75424878
124,Luis Figueroa,75259307
125,Lary Over,75259307
126,OneRepublic,74371911
127,Brooks,74161692
128,Juicy J,73762040
129,Charlie Puth,72383747
130,KAROL G,70882513
131,Mambo Kingz,70882485
132,DJ Luian,70882485
133,John Mayer,69015660
134,Sean Paul,68276731
135,NF,65789490
136,Sam Smith,65452879
137,PARTYNEXTDOOR,65207500
138,James Arthur,62161667
139,Panic! At The Disco,60606058
140,Portugal. The Man,60324918
141,Sandro Cavazza,59960047
142,Justin Bieber,59839939
143,Julia Michaels,59823866
144,Shakira,57358780
145,The Carters,56264355
146,J. Cole,56008177
147,Wizkid,55912310
148,Kyla,55912310
149,Coldplay,54657611
150,Jason Mraz,53385895
151,Leslie Grace,53354651
152,Noriel,53354651
153,TOTO,53073834
154,Charli XCX,52543183
155,Willy William,51813136
156,Axwell /\ Ingrosso,51736415
157,YG,51413849
158,Olly Alexander (Years & Years),51124246
159,Will Smith,49843582
160,Era Istrefi,49843582
161,Murda Beatz,49727535
162,2 Chainz,49676965
163,benny blanco,48473636
164,BLACKPINK,47980068
165,Almighty,47232265
166,Arctic Monkeys,45973803
167,Oasis,45089720
168,G-Eazy,44231126
169,Chance the Rapper,43692478
170,NOTD,43513884
171,Bea Miller,43513884
172,Alessia Cara,43396569
173,Ella Mai,43335626
174,DJ SpinKing,43156306
175,Keala Settle,42855693
176,The Greatest Showman Ensemble,42855693
177,Future,40427209
178,Dynoro,40123963
179,Gigi D'Agostino,40123963
180,Nego do Borel,39337028
181,King Princess,39041439
182,Playboi Carti,37454725
183,Lenny Tavárez,37064735
184,George Ezra,36091330
185,JAY-Z,35637560
186,Jay Rock,35309693
187,James Blake,35309693
188,Taylor Swift,34986088
189,Louis The Child,34962122
190,Wafia,34962122
191,Matheus & Kauan,33546799
192,Justin Timberlake,32570445
193,Wiz Khalifa,29998514
194,Capital Bra,29731900
195,Brytiago,29009122
196,Zhavia,28911784
197,NAV,27977667
198,Chris Stapleton,27875930
199,Eminem,27710654
200,Static Major,26692288
201,DJ Khaled,26590758
202,Pusha T,25188436
203,Troye Sivan,25018531
204,Cheat Codes,24320380
205,Little Mix,24320380
206,Pharrell Williams,24065116
207,Big Sean,23896288
208,Prince Royce,23650220
209,Zac Efron,23227854
210,Zendaya,23227854
211,Twenty One Pilots,23138057
212,Banx & Ranx,22932527
213,Ella Eyre,22932527
214,Yxng Bane,22932527
215,Stefflon Don,22636690
216,Alec Benjamin,20147942
217,Tom Walker,20083752
218,Lord Huron,17894568
219,Romeo Santos,17753579
220,Lil Skies,17632039
221,Enrique Iglesias,17192638
222,Justin Quiles,16765477
223,The Killers,15668384
224,Kodak Black,15593361
225,Elley Duhé,15514013
226,Louis Prima,15317236
227,Jax Jones,13763559
228,Ina Wroldsen,13763559
229,Hailee Steinfeld,13278267
230,Alesso,13278267
231,WATT,13278267
232,Major Lazer,12428973
233,Mr Eazi,12428973
234,Bomba Estéreo,12259836
235,Tainy,12259836
236,Steve Aoki,12177520
237,John Legend,12030904
238,Dean Lewis,10896289
239,Thalia,10125132
240,Bushido,9758420
241,Samra,9758420
242,The 1975,9755987
243,Gorillaz,8411150
244,George Benson,8411150
245,Yo Gotti,8360039
246,YBN Nahmir,8360039
247,Nas,8265701
248,Lil Xan,8179739
249,Alex Rose,8135805
250,Rauw Alejandro,8135805
251,Cazzu,8135805
252,Lyanno,8135805
253,Seeb,8099030
254,Dagny,8099030
255,Yasiin Bey,7882877
256,Passenger,7779395
257,Queen,7608450
258,Ryan Tedder,7421692
259,Moby,6099486
260,T.I.,6099486
261,Kid Cudi,6099486
262,FKA twigs,5486769
263,Emily Warren,5459269
264,Alan Walker,5229016
265,Au/Ra,5229016
266,Tomine Harket,5229016
267,Netta,5017746
268,Rvssian,5015564
269,Sfera Ebbasta,5015564
270,Aitana,4436815
271,Eleni Foureira,4250022
272,Joey Bada$$,4241926
273,Ramz,4122614
274,Tee Grizzley,4067764
275,Ufo361,4066645
276,LANY,3997439
277,Hozier,3996559
278,Landon Cube,3970058
279,Diddy,3912138
280,070 Shake,3912138
281,PNL,3885608
282,Anuel AA,3850951
283,Zion,3850951
284,Journey,3752576
285,Kris Kross Amsterdam,3690390
286,The Boy Next Door,3690390
287,Conor Maynard,3690390
