ID,Artist,Streams
1,Ed Sheeran,1463350676
2,The Chainsmokers,793831154
3,The Weeknd,749044587
4,Drake,607552502
5,Daft Punk,444685566
6,Justin Bieber,429998551
7,Daddy Yankee,386059936
8,Migos,350415001
9,Maluma,341597813
10,ZAYN,334806309
11,Bruno Mars,319977016
12,Major Lazer,305170436
13,Taylor Swift,295980360
14,Sean Paul,292501453
15,Rihanna,291451555
16,Future,290138228
17,Alessia Cara,282560377
18,MØ,279803915
19,Kendrick Lamar,266469088
20,Martin Garrix,264262553
21,Anne-Marie,246048376
22,Nicki Minaj,245859450
23,Clean Bandit,242936753
24,DJ Snake,238652270
25,Shawn Mendes,236295673
26,Maroon 5,236258466
27,Selena Gomez,227447605
28,Bebe Rexha,223211809
29,Halsey,221973795
30,Shakira,221114440
31,Big Sean,217227096
32,Twenty One Pilots,216302502
33,Calvin Harris,213821138
34,Dua Lipa,211359626
35,James Arthur,208660486
36,Lil Uzi Vert,203327187
37,Luis Fonsi,200370894
38,Gucci Mane,189809997
39,Rae Sremmurd,184164262
40,Starley,183507972
41,Ryan Riback,183507972
42,Ariana Grande,183372486
43,Jonas Blue,178888087
44,J Balvin,177837889
45,Lil Yachty,173358231
46,Sia,173185435
47,Zion & Lennox,170759780
48,Adele,162492660
49,Zedd,161603380
50,Steve Aoki,157442140
51,Louis Tomlinson,157442140
52,Coldplay,157041769
53,Zara Larsson,156752983
54,21 Savage,154346461
55,Camila Cabello,153168756
56,RAYE,150140919
57,Alan Walker,149519677
58,mgk,149426339
59,Cheat Codes,147848171
60,Ty Dolla $ign,138258442
61,Wizkid,137468863
62,Kyla,137468863
63,The Vamps,129006342
64,Matoma,129006342
65,Wisin,127533685
66,Imagine Dragons,125107949
67,Kygo,125052884
68,John Legend,122993758
69,Stormzy,121800662
70,Julia Michaels,120873321
71,Martin Jensen,118490510
72,JP Cooper,117772296
73,David Guetta,115495082
74,Robin Schulz,112467940
75,Alok,111907088
76,Zeeba,111907088
77,Bruno Martini,111907088
78,Grey,111264483
79,CNCO,110623608
80,Seeb,109844220
81,Hailee Steinfeld,108364447
82,Jon Bellion,107562379
83,Lil Wayne,106634558
84,J. Cole,105347758
85,Metro Boomin,105328871
86,Sage The Gemini,105040252
87,Little Mix,102916972
88,AJR,101326418
89,Katy Perry,101106385
90,Skip Marley,101106385
91,KYLE,100064582
92,Rag'n'Bone Man,96855262
93,Phoebe Ryan,96390831
94,Travis Scott,94540166
95,PARTYNEXTDOOR,89460403
96,Post Malone,89076775
97,Daya,87605064
98,Eminem,85375677
99,Justin Timberlake,83584735
100,Aminé,83451868
101,Pharrell Williams,82364962
102,BIA,82364962
103,Sky Rompiendo,82364962
104,G-Eazy,79426354
105,Ozuna,78963371
106,Snakehips,77527296
107,Nicky Jam,76793989
108,Charlie Puth,76368213
109,Petit Biscuit,74019312
110,DRAM,73293649
111,Ricky Martin,69991978
112,Mike Posner,69072422
113,Noah Cyrus,66606732
114,Labrinth,66606732
115,Jax Jones,66179650
116,Enrique Iglesias,63498524
117,NEIKED,63309733
118,Dyo,63309733
119,Luke Christopher,62281855
120,Pitbull,60214265
121,Farruko,59806157
122,Desiigner,59307857
123,Quavo,58777226
124,Fifth Harmony,58152138
125,Childish Gambino,57919341
126,Nevada,56500936
127,Mark Morrison,56500936
128,Fetty Wap,56500936
129,IAmChino,56471848
130,Yandel,56471848
131,El Chacal,56471848
132,Sebastian Yatra,56056973
133,gnash,55459132
134,Olivia O'Brien,55459132
135,Chance the Rapper,55232470
136,Frank Ocean,53582951
137,Isaiah Firebrace,53274525
138,Piso 21,53044241
139,Wiz Khalifa,52830931
140,X Ambassadors,52830931
141,Logic,52830931
142,Carlos Vives,52728856
143,Marc E. Bassy,51885319
144,Rob $tone,50604083
145,J. Davi$,50604083
146,J Spooks,50604083
147,Nyla,48657524
148,FRENSHIP,47959157
