ID,Artist,Streams
1,The Weeknd,1675015087
2,Bad Bunny,1548380643
3,SZA,1218108656
4,Feid,900550312
5,21 Savage,727062562
6,Quevedo,706409793
7,Shakira,699953628
8,Miley Cyrus,655696091
9,Bizarrap,648448905
10,Metro Boomin,646573462
11,Taylor Swift,590727541
12,Eminem,590003705
13,Harry Styles,567179964
14,KAROL G,530854319
15,NewJeans,495144488
16,Sam Smith,484585111
17,Arctic Monkeys,475534940
18,Imagine Dragons,430008271
19,Grupo Frontera,417765671
20,d4vd,404797203
21,Ozuna,371574408
22,Kim Petras,367260983
23,Rema,360975800
24,Chris Brown,355160067
25,Drake,344534434
26,Ed Sheeran,338115513
27,Stephen Sanchez,337914944
28,RAYE,318884655
29,070 Shake,318884655
30,Manuel Turizo,313459436
31,Justin Bieber,310391595
32,Rihanna,308561399
33,ROSALÍA,307658421
34,David Guetta,302697362
35,Bebe Rexha,302697362
36,OneRepublic,293475221
37,Natanael Cano,286813762
38,Coldplay,286142769
39,Arcángel,267232293
40,Ariana Grande,266361551
41,Future,266039867
42,Selena Gomez,265557317
43,Steve Lacy,263326461
44,Peso Pluma,260852614
45,Rauw Alejandro,255012465
46,Dua Lipa,248568019
47,BTS,243577435
48,Central Cee,241066248
49,The Kid LAROI,233125441
50,JVKE,225867720
51,Fuerza Regida,221141921
52,Tom Odell,220952818
53,Oliver Tree,214536296
54,Miguel,213079519
55,Em Beihold,209250318
56,Chencho Corleone,208571314
57,Yandel,207973876
58,Lil Uzi Vert,207671058
59,Meghan Trainor,207410342
60,PinkPantheress,198916557
61,Joji,192420418
62,Morgan Wallen,183151141
63,Jung Kook,181468288
64,Robin Schulz,177907832
65,Lana Del Rey,177788867
66,Elton John,177349407
67,Post Malone,174907220
68,Daft Punk,173270597
69,Bruno Mars,171972059
70,The Neighbourhood,168217337
71,Beyoncé,163714091
72,Ñengo Flow,162751698
73,Calvin Harris,162494059
74,Billie Eilish,162028129
75,Ice Spice,161539207
76,Adele,160847433
77,Rosa Linn,160377410
78,Lady Gaga,158954341
79,Bomba Estéreo,156664705
80,Lil Nas X,154673540
81,Sia,154385067
82,Glass Animals,153944069
83,BLACKPINK,148870390
84,Michael Bublé,144823824
85,King,139928870
86,Doja Cat,138319637
87,Junior H,138314498
88,Ana Castela,136285645
89,Gabito Ballesteros,132104958
90,Carin Leon,131384908
91,PNAU,128990447
92,Mariah Carey,126709863
93,Ovy On The Drums,126285410
94,J. Cole,126208408
95,Gesaffelstein,126026781
96,Ruth B.,122958176
97,Lyanno,122655178
98,Brray,122655178
99,Tiësto,121106106
100,Tate McRae,121106106
101,Marília Mendonça,121013728
102,,120191204
103,ThxSoMch,115879002
104,Khalid,115432170
105,Fujii Kaze,111786128
106,INTERWORLD,107076500
107,Myke Towers,106633849
108,Cris Mj,106566487
109,Duki,106566487
110,Nicki Nicole,106566487
111,Standly,106566487
112,Stars Music Chile,106566487
113,Kordhell,106029725
114,Israel & Rodolffo,105036507
115,Charlie Puth,104740247
116,Wisin & Yandel,102567524
117,Zach Bryan,101778091
118,Cigarettes After Sex,101330929
119,Lewis Capaldi,101165948
120,Dina Rae,100367710
121,LE SSERAFIM,100334880
122,Sabrina Carpenter,100269511
123,Coi Leray,100152780
124,Hotel Ugly,99537116
125,JID,99114168
126,Arcane,99114168
127,League of Legends,99114168
128,Oscar Maydon,98085371
129,Tory Lanez,96606547
130,Wham!,95860409
131,The Walters,95244173
132,J Balvin,94997434
133,Libianca,93009718
134,Brenda Lee,89065027
135,Beach Weather,88814185
136,New West,88435080
137,One Direction,87856536
138,Romeo Santos,85828093
139,Conan Gray,85322010
140,XXXTENTACION,85066434
141,Vance Joy,84976911
142,Lizzo,84524274
143,Nat King Cole,82827583
144,Bobby Helms,79851647
145,Mora,79348743
146,Yuridia,78943871
147,Ángela Aguilar,78943871
148,Nicky Youre,78543933
149,dazy,78543933
150,Frank Sinatra,78282860
151,FIFA Sound,76728041
152,Dean Martin,75117940
153,Coolio,74286460
154,L.V.,74286460
155,Swae Lee,72846095
156,Beach House,70819782
157,James Arthur,70526169
158,LiL CaKe,69392874
159,Migrantes,69392874
160,Nico Valdi,69392874
161,Baby Rasta,69386273
162,Leo Santana,67078776
163,Kelly Clarkson,66723481
164,Elley Duhé,66221265
165,Don Toliver,65684495
166,Mac DeMarco,64285892
167,Andy Williams,62831842
168,Macklemore & Ryan Lewis,62489935
169,Macklemore,62489935
170,Ryan Lewis,62489935
171,Ray Dalton,62489935
172,Travis Scott,62173207
173,Gustavo Mioto,61478003
174,Mari Fernandez,61478003
175,José Feliciano,59785110
176,Jack Harlow,59623299
177,Keane,58590919
178,Bing Crosby,56374378
179,TINI,53666619
180,TAEYANG,53057038
181,Jimin,53057038
182,Bellakath,50987289
183,Tears For Fears,50185258
184,Dean Lewis,49615172
185,Nicki Minaj,46587664
186,Kaifi Khalil,46557966
187,Burl Ives,46172425
188,MC MENOR HR,45523372
189,MC MENOR SG,45523372
190,DJ ESCOBAR,45523372
191,The Ronettes,44477158
192,Mr.Kitty,44410387
193,Seafret,42754873
194,Chino Pacas,41260286
195,John Lennon,40470210
196,Yoko Ono,40470210
197,Mahalini,40433692
198,Jessie Reyez,39747805
199,Gorillaz,39405780
200,sped up nightcore,38713378
201,ARIZONATEARS,38713378
202,Kate Bush,38252150
203,Lizzy McAlpine,37812656
204,Niall Horan,37452638
205,Freddie Dredd,36712449
206,TWISTED,36628464
207,Fast & Furious: The Fast Saga,36628464
208,Paul McCartney,36283230
209,B. Swanson Quartet,36022609
210,Tems,35591712
211,Band Aid,35410053
212,Shakin' Stevens,34498969
213,Yng Lvcas,34101494
214,Mert Demir,33925962
215,Mabel Matiz,33925962
216,Linkin Park,33541607
217,Chris Rea,32921097
218,Raim Laode,31781641
219,Vishal-Shekhar,31648253
220,Vishal Dadlani,31648253
221,Shekhar Ravjiani,31648253
222,Kumaar,31648253
223,JAY-Z,31461888
224,Darlene Love,31402217
225,AgroPlay,31249138
226,Elvis Presley,30830031
227,Aerosmith,30238848
228,Arijit Singh,29990004
229,Lost Frequencies,29204934
230,Calum Scott,29204934
231,The Jackson 5,29095129
232,Baby Tate,27419781
233,Perry Como,27181481
234,The Fontane Sisters,27181481
235,Mitchell Ayres & His Orchestra,27181481
236,TOMORROW X TOGETHER,26222939
237,Britney Spears,24960025
238,Lazza,24336574
239,Chuck Berry,23861405
240,The Beach Boys,23554674
241,El Chachito,23463481
242,Dj LK da Escócia,23399014
243,Tchakabum,23399014
244,MC Ryan SP,23399014
245,mc jhenny,23399014
246,Mc RF,23399014
247,Mae Stephens,23276407
248,Ayra Starr,22698871
249,Superstar Pride,22656765
250,La Joaqui,21928725
251,Steve Aoki,21928725
252,Gwen Stefani,21452718
253,Blake Shelton,21452718
254,Kenshi Yonezu,21252122
255,Bruce Springsteen,20915325
256,TWICE,20436675
257,The Pogues,19794662
258,Kirsty MacColl,19794662
259,Daryl Hall & John Oates,19520900
260,Queen,19481271
261,Eagles,19340398
262,Zé Felipe,19217276
263,Gene Autry,18811718
264,Taiu,18672214
265,Milo j,18672214
266,Mikky Ekko,17632570
267,j-hope,17471086
268,Eartha Kitt,16742186
269,Henri René and His Orchestra,16742186
270,Maldy,16502607
271,*NSYNC,16462775
272,Sukriti Kakar,16409919
273,Grupo Marca Registrada,16327613
274,Juice WRLD,15842733
275,Udo Lindenberg,15339479
276,Apache 207,15339479
277,AYLIVA,15278113
278,MERO,15278113
279,Shilpa Rao,15238334
280,Caralisa Monteiro,15238334
281,James Hype,14930084
282,Miggy Dela Rosa,14930084
283,Jhayco,14874225
284,Måneskin,14373424
285,DaBaby,14082281
286,Olivia Rodrigo,14023520
287,Maroon 5,13887022
288,Hozier,13804143
289,The Police,13741066
290,Pritam,13580085
291,Amitabh Bhattacharya,13580085
292,Cartel De Santa,13414065
293,La Kelly,13414065
294,NF,10262206
295,Mr.Rain,9867102
296,Marco Mengoni,9479614
297,Stevie Wonder,9324042
298,P!nk,9200618
299,Mykola Dmytrovych Leontovych,8979442
300,John Williams,8979442
301,Kylie Minogue,8859557
302,Eric Church,8782738
303,Luke Combs,8684244
304,Rels B,8546293
305,Marshmello,8369306
306,Donny Hathaway,8346855
307,Halsey,8276196
308,Jonas Brothers,8164469
309,Ava Max,8159679
310,WIU,8118583
311,Kenia OS,8069960
312,Leona Lewis,8017415
313,Farruko,7999713
314,Young Thug,7995579
315,beabadoobee,7914985
316,Idina Menzel,7897392
317,MC Xenon,7891674
318,Os Gemeos da Putaria,7891674
319,Skrillex,7879026
320,Fred again..,7879026
321,Flowdan,7879026
322,The Andrews Sisters,7875601
323,RM,7875317
324,Youjeen,7875317
325,DJ Jeeh FDC,7797383
326,MC Menor MT,7797383
327,Yuri Redicopa,7797383
328,Mc Pelé,7797383
329,Wizzard,7794881
330,Phoebe Bridgers,7790263
331,Ella Fitzgerald,7767213
332,Tony Bennett,7756915
333,Bradley Cooper,7722337
334,Brett Eldredge,7718298
335,Madame,7698924
336,Carla Morrison,7638061
337,Trippie Redd,7610829
338,Pentatonix,7440135
339,The Killers,7279484
340,Black Eyed Peas,7278570
341,Wyclef Jean,7186556
342,Avicii,7169193
343,Kendrick Lamar,7139067
344,Jay Rock,7139067
345,Edgardo Nuñez,7106221
346,Omar Apollo,7105381
347,50 Cent,6975892
348,Camila Cabello,6888725
349,Guilherme & Benuto,6807866
350,Hugo & Guilherme,6807866
351,Nate Dogg,6779918
352,MEDUZA,6748442
353,James Carter,6748442
354,FAST BOY,6748442
355,MC K.K,6713237
356,Dj TG Beats,6713237
357,Dj Aurélio,6713237
358,MC Lipivox,6713237
359,Wiz Khalifa,6713045
