ID,Artist,Streams
247,Giveon,20649003
248,C. Tangana,20423127
249,Niño de Elche,20423127
250,La Húngara,20423127
251,CORPSE,20410285
252,Savage Ga$p,20410285
253,Dermot Kennedy,20268879
254,DDG,19814162
255,Blueface,19814162
256,Cali Y El Dandee,19787966
257,Danna Paola,19787966
258,Tiësto,18889146
259,Little Mix,17334054
260,Nea,15706641
261,Felix Jaehn,15706641
262,Pink Sweat$,15246455
263,Beyoncé,14911568
264,Alex Rose,14476185
265,Rafa Pabön,14476185
266,42 Dugg,14240770
267,Ali Gatie,13993301
268,Headie One,13907632
269,AJ Tracey,13907632
270,Stormzy,13907632
271,Wham!,13645520
272,SZA,12812403
273,The Neptunes,12812403
274,Pharrell Williams,12812403
275,Sia,12748732
276,Wolftyla,12148541
277,Bebe Rexha,11265538
278,ITZY,11132573
279,Lauv,10574766
280,Damso,10195777
281,Morgan Wallen,9818080
282,YoungBoy Never Broke Again,9741703
283,Lil Nas X,9662219
284,Linkin Park,9572202
285,Robin Schulz,9530319
286,Wes,9530319
287,Tina Turner,9332042
288,Peach Tree Rascals,9276631
289,Oasis,9244410
290,KITSCHKRIEG,9241625
291,Jamule,9241625
292,SFR,9241625
293,ZAAC,9101319
294,Tyga,9101319
295,Bryson Tiller,7762934
296,Michael Bublé,6347297
297,Brenda Lee,6245707
298,Bobby Helms,6085366
299,Young Nudy,5846760
300,Michael Jackson,5605234
301,Andy Williams,5483199
302,Earth,5329256
303,Wind & Fire,5329256
304,Katy Perry,5306994
305,Normani,5229835
306,Lil Yachty,5141212
307,G-Eazy,5116071
308,Hamza,5101640
309,AC/DC,5096618
310,HVME,4980845
311,Matuê,4938139
312,Kelly Clarkson,4878537
313,Lil Tecca,4800543
314,Maxwell,4723116
315,Adele,4703672
316,Lana Del Rey,4665053
317,Conkarah,4624448
318,Shaggy,4624448
319,DJ Fle,4624448
320,Cordae,4609169
321,JACKBOYS,4597001
322,Donna Summer,4569978
323,Rod Wave,4547965
324,El Alfa,4501441
325,Vance Joy,4481116
