ID,Artist,Streams
1,The Weeknd,1027162117
2,Bad Bunny,893537661
3,Doja Cat,717873443
4,Ed Sheeran,694452882
5,Olivia Rodrigo,654635567
6,Dua Lipa,626972980
7,Justin Bieber,622577056
8,Lil Nas X,558111833
9,Rauw Alejandro,464181904
10,Imagine Dragons,440354809
11,Eminem,439498891
12,Adele,402752578
13,Labrinth,371838685
14,Glass Animals,365737572
15,BTS,358226793
16,The Neighbourhood,343912589
17,The Kid LAROI,315803905
18,Arcane,312157021
19,League of Legends,312157021
20,Stephanie Beatriz,311804892
21,Jack Harlow,310991846
22,GAYLE,298985121
23,JID,295677573
24,Bruno Mars,287191179
25,Tiësto,281003777
26,Elton John,271563497
27,PNAU,271563497
28,Coldplay,270887483
29,Post Malone,261307698
30,Encanto - Cast,253413577
31,Billie Eilish,237812202
32,KAROL G,235318823
33,Diane Guerrero,235253479
34,Harry Styles,216024650
35,Arctic Monkeys,213267196
36,Chencho Corleone,210975826
37,SZA,204468454
38,Lenny Tavárez,202246321
39,Taylor Swift,200714713
40,Drake,194157340
41,Carolina Gaitán - La Gaita,193873971
42,Mauro Castillo,193873971
43,Adassa,193873971
44,Rhenzy Feliz,193873971
45,Jaymes Young,188034678
46,CKay,186161999
47,Farruko,184371298
48,Ariana Grande,180321874
49,Tiago PZK,177731094
50,Justin Quiles,174744596
51,Future,167311080
52,ACRAZE,166939595
53,Cherish,166939595
54,Lost Frequencies,165395468
55,Calum Scott,165395468
56,Young Thug,161753394
57,Becky G,159361769
58,The Walters,159117267
59,Juice WRLD,154579455
60,Ava Max,153250960
61,Tainy,151887705
62,Julieta Venegas,151887705
63,Sech,150229766
64,Sebastian Yatra,149798175
65,Jhayco,149321946
66,Elley Duhé,147356146
67,Gunna,147008271
68,Måneskin,145693760
69,Lewis Capaldi,145229245
70,Camila Cabello,144695864
71,J Balvin,142765957
72,BoyWithUke,142246277
73,Marília Mendonça,140552976
74,Shawn Mendes,137909500
75,Zendaya,134995178
76,Charlie Puth,130722279
77,Nirvana,128702818
78,Tate McRae,126500314
79,Ruth B.,124712739
80,DaBaby,124024895
81,zzoilo,121830336
82,Aitana,121830336
83,Anderson .Paak,120349182
84,Silk Sonic,120349182
85,Maroon 5,118766227
86,Dove Cameron,118290418
87,Bizarrap,118119371
88,Ryan Castro,116757813
89,Lauren Spencer Smith,114416830
90,Blessd,113824339
91,ROSALÍA,112793555
92,Avicii,110076701
93,Tom Odell,109947910
94,WILLOW,107684471
95,Jessica Darrow,107337774
96,Frank Ocean,106073175
97,Swedish House Mafia,105843161
98,Kodak Black,103429240
99,Daddy Yankee,102934597
100,Xamã,102213682
101,Gustah,102213682
102,Neo Beats,102213682
103,Bagua Records,102213682
104,Anitta,101053722
105,Polo G,100667936
106,Aventura,100118051
107,Giveon,99928881
108,LISA,95813944
109,Daniel Caesar,94436462
110,Steve Lacy,94245000
111,Dr. Dre,90767899
112,Snoop Dogg,90767899
113,Swae Lee,90312977
114,JNR CHOI,90057721
115,Sam Tompkins,90057721
116,Cris Mj,86059089
117,Quevedo,85420472
118,Khalid,85260462
119,21 Savage,84933479
120,The Rare Occasions,83949031
121,Mora,83891196
122,Rvssian,83442524
123,Chris Brown,83442524
124,Luude,82296958
125,Colin Hay,82296958
126,Surf Curse,81824733
127,Project Pat,78922320
128,La Pantera,78759939
129,Juseph,78759939
130,Abhir Hathi,78759939
131,Bejo,78759939
132,Cruz Cafuné,78759939
133,EL IMA,78759939
134,NEIKED,78755035
135,Mae Muller,78755035
136,Hugo & Guilherme,78345093
137,Zé Felipe,77453306
138,Nate Dogg,77390304
139,XXXTENTACION,76138494
140,OneRepublic,76006716
141,J. Cole,75714090
142,24kGoldn,75436515
143,iann dior,75436515
144,Kanye West,75351431
145,AP Dhillon,74112032
146,Gurinder Gill,74112032
147,Intense,74112032
148,Conan Gray,73252402
149,Maria Becerra,73090551
150,THE ANXIETY,72918787
151,Tyler Cole,72918787
152,Dj Yo!,72699680
153,AX'EL,72699680
154,Coolio,72278039
155,L.V.,72278039
156,Em Beihold,71837241
157,Sean Paul,71358887
158,Wiz Khalifa,70478506
159,Vance Joy,70402884
160,Tones And I,70332390
161,Hozier,69208027
162,The Killers,68914060
163,De La Ghetto,67580790
164,Gesaffelstein,67329030
165,PEDRO SAMPAIO,64690014
166,Mc Pedrinho,64690014
167,Queen,63793247
168,Wizkid,63511872
169,Kyla,63511872
170,Gabry Ponte,61227497
171,LUM!X,61227497
172,Prezioso,61227497
173,Dímelo Flow,60920257
174,Dalex,60920257
175,Arcángel,60920257
176,Olga Merediz,59539606
177,NIKI,59345838
178,Yung Lean,58646617
179,John Legend,56376078
180,James Arthur,55185941
181,Beach House,54927549
182,Zion & Lennox,53693124
183,Chefin,52842792
184,Mainstreet,52842792
185,Maluma,52610837
186,50 Cent,51812710
187,Christian Nodal,51810181
188,LIT killah,51373317
189,Nicki Nicole,51373317
190,Sia,50823157
191,Chase Atlantic,50690126
192,Paulo Londra,50361062
193,Mahmood,50122024
194,BLANCO,50122024
195,Jung Kook,49983071
196,Gusttavo Lima,48667452
197,Alvaro Diaz,47746154
198,Trueno,47608169
199,The Chainsmokers,47304673
200,Dave,46763048
201,Kali Uchis,45093329
202,Kendrick Lamar,44972014
203,Dido,44921070
204,George Henrique & Rodrigo,44489503
205,Macklemore & Ryan Lewis,43685806
206,Macklemore,43685806
207,Ryan Lewis,43685806
208,Ray Dalton,43685806
209,Duncan Laurence,43577638
210,Megan Thee Stallion,43448167
211,mgk,42290902
212,Nio Garcia,40989405
213,Anuel AA,40332542
214,Amaarae,39776804
215,Moliy,39776804
216,Baby Keem,39248298
217,Sleepy Hallow,39016572
218,Tulus,38394497
219,Oliver Tree,37206850
220,Travis Scott,37113467
221,Muni Long,36486533
222,Eden Muñoz,35584148
223,Emmy Meli,35515859
224,ENHYPEN,34682956
225,Lady Gaga,33354584
226,Bradley Cooper,33354584
227,Tyler,33020431
228,The Creator,33020431
229,TREASURE,32006280
230,C. Tangana,31884123
231,Danny Ocean,28277980
232,Residente,28113655
233,Demi Lovato,28094655
234,blackbear,27865466
235,Boza,27501725
236,Lunay,27501725
237,Juhn,27501725
238,Beéle,27501725
239,Tyga,27165327
240,Alejo,24402193
241,Feid,24402193
242,ROBI,24402193
243,Stray Kids,24258186
244,Vundabar,24223764
245,Fireboy DML,24157824
246,AnnenMayKantereit,23825704
247,Giant Rooks,23825704
248,Playboi Carti,23460925
249,Nicki Minaj,23432155
250,Lil Baby,23432155
251,Davi Kneip,23191846
252,Mc Frog,23191846
253,Dj Gabriel do Borel,23191846
254,Luísa Sonza,23191846
255,JVKE,23060436
256,Fivio Foreign,22636945
257,Alicia Keys,22636945
258,Riton,22230721
259,Nightcrawlers,22230721
260,Mufasa & Hypeman,22230721
261,Dopamine,22230721
262,Kep1er,22161066
263,The Game,19370971
264,Edison Lighthouse,18635819
265,4*TOWN (From Disney and Pixar’s Turning Red),18541276
266,Jordan Fisher,18541276
267,Finneas O'Connell,18541276
268,Topher Ngo,18541276
269,Grayson Villanueva,18541276
270,Josh Levi,18541276
271,Jason Derulo,18306954
272,Pharrell Williams,18196376
273,DJ Matt D,18005271
274,Menor MC,18005271
275,MC GP,18005271
276,Vulgo FK,18005271
277,Maiara & Maraisa,17718380
278,Mc Danny,17108133
279,IVE,16920517
280,V,16809063
281,Masked Wolf,16588536
282,Yeat,16166366
283,Bring Me The Horizon,16080308
284,UZI,14628830
285,Yahritza Y Su Esencia,14009334
