country,currentRank,previousRank,peakRank,peakDate,appearancesOnChart,consecutiveAppearancesOnChart,rankingMetricValue,rankingMetricType,entryStatus,entryRank,entryDate,trackName,trackUri,displayImageUri,artistName,artistSpotifyUri,Streams,releaseDate
GLOBAL,1,-1,1,2021-05-20,1,1,43029667,STREAMS,NEW_ENTRY,1,2021-05-20,good 4 u,spotify:track:6PERP62TejQjgHu81OHxgM,https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a,Olivia Rodrigo,spotify:artist:1McMsnEElThX1knmY4oliG,43029667,2021-05-21
GLOBAL,2,1,1,2021-04-15,8,8,40805633,STREAMS,MOVED_DOWN,2,2021-04-01,MONTERO (Call Me By Your Name),spotify:track:67BtfxlNbhBmCDR2L2l8qd,https://i.scdn.co/image/ab67616d00001e02664034dd80e91b28f773598d,Lil Nas X,spotify:artist:7jVv8c5Fj3E9VhNjxT4snq,40805633,2021-03-31
GLOBAL,3,3,3,2021-04-29,6,6,37723231,STREAMS,NO_CHANGE,6,2021-04-15,Kiss Me More (feat. SZA),spotify:track:748mdHapucXQri7IAO8yFK,https://i.scdn.co/image/ab67616d00001e026c031afd210aed3084f80956,"Doja Cat, SZA","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5, spotify:artist:7tYKF4w9nC0nq9CsPZTHyP",37723231,2021-04-09
GLOBAL,4,2,1,2021-03-25,9,9,35908730,STREAMS,MOVED_DOWN,1,2021-03-25,Peaches (feat. Daniel Caesar & Giveon),spotify:track:4iJyoBOLtHqaGxP12qzhQI,https://i.scdn.co/image/ab67616d00001e02e6f407c7f3a0ec98845e4431,"Justin Bieber, Daniel Caesar, Giveon","spotify:artist:1uNFoZAHBGtllmzznpCI3s, spotify:artist:20wkVLutqVOYrc0kxFs7rA, spotify:artist:4fxd5Ee7UefO4CUXgwJ7IP",35908730,2021-03-19
GLOBAL,5,4,4,2021-05-13,33,33,30358414,STREAMS,MOVED_DOWN,141,2020-10-08,Levitating (feat. DaBaby),spotify:track:5nujrmhLynf4yMoMtj8AQF,https://i.scdn.co/image/ab67616d00001e022172b607853fa89cefa2beb4,"Dua Lipa, DaBaby","spotify:artist:6M2wZ9GZgrQXHCFfjv46we, spotify:artist:4r63FhuTkUYltbVAg5TQnk",30358414,2020-03-27
GLOBAL,6,-1,6,2021-05-20,1,1,25215473,STREAMS,NEW_ENTRY,6,2021-05-20,m y . l i f e (with 21 Savage & Morray),spotify:track:1D3z6HTiQsNmZxjl7F7eoG,https://i.scdn.co/image/ab67616d00001e0210e6745bb2f179dd3616b85f,"J. Cole, 21 Savage, Morray","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5, spotify:artist:1URnnhqYAYcrqrcwql10ft, spotify:artist:44vREmJC0OlVZjZaGLqVEd",25215473,2021-05-14
GLOBAL,7,12,7,2021-05-20,7,7,24953343,STREAMS,MOVED_UP,9,2021-04-08,deja vu,spotify:track:61KpQadow081I2AsbeLcsb,https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a,Olivia Rodrigo,spotify:artist:1McMsnEElThX1knmY4oliG,24953343,2021-05-21
GLOBAL,8,5,3,2021-03-25,18,18,24605382,STREAMS,MOVED_DOWN,172,2021-01-21,Astronaut In The Ocean,spotify:track:3VT8hOC5vuDXBsHrR53WFh,https://i.scdn.co/image/ab67616d00001e02580a07f13ece1bd30d37bd80,Masked Wolf,spotify:artist:1uU7g3DNSbsu0QjSEqZtEd,24605382,2021-09-10
GLOBAL,9,6,5,2021-03-11,11,11,23999529,STREAMS,MOVED_DOWN,5,2021-03-11,Leave The Door Open,spotify:track:7MAibcTli4IisCtbHKrGMh,https://i.scdn.co/image/ab67616d00001e02fcf75ead8a32ac0020d2ce86,"Bruno Mars, Anderson .Paak, Silk Sonic","spotify:artist:0du5cEVh5yTK9QJze8zA0C, spotify:artist:3jK9MiCrA42lLAdMGUZpwa, spotify:artist:6PvvGcCY2XtUcSRld1Wilr",23999529,2021-11-11
GLOBAL,10,-1,10,2021-05-20,1,1,23579509,STREAMS,NEW_ENTRY,10,2021-05-20,a m a r i,spotify:track:2cnKST6T9qUo2i907lm8zX,https://i.scdn.co/image/ab67616d00001e0210e6745bb2f179dd3616b85f,J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,23579509,2021-05-14
GLOBAL,11,-1,11,2021-05-20,1,1,22934823,STREAMS,NEW_ENTRY,11,2021-05-20,p r i d e . i s . t h e . d e v i l (with Lil Baby),spotify:track:5W8jRrZ6tWrTrqnKRtIQBf,https://i.scdn.co/image/ab67616d00001e0210e6745bb2f179dd3616b85f,"J. Cole, Lil Baby","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5, spotify:artist:5f7VJjfbwm532GiveGC0ZK",22934823,2021-05-14
GLOBAL,12,7,7,2021-05-13,14,14,22522039,STREAMS,MOVED_DOWN,197,2021-02-18,Fiel,spotify:track:7Bk0uXKk1uPT0XuQbpFzvs,https://i.scdn.co/image/ab67616d00001e0250c22294cd0ef1271dd7df3c,"Los Legendarios, Wisin, Jhayco","spotify:artist:0n6sKrG0xKAf8xmdqeNGke, spotify:artist:3E6xrwgnVfYCrCs0ePERDz, spotify:artist:6nVcHLIgY5pE2YCl8ubca1",22522039,2021-02-04
GLOBAL,13,10,10,2021-05-13,5,5,21273759,STREAMS,MOVED_DOWN,136,2021-04-22,Pareja Del Año,spotify:track:2rCbl9naJYhaxjLsfx88uM,https://i.scdn.co/image/ab67616d00001e02ee3c93eb863c564418d8f921,"Sebastian Yatra, Myke Towers","spotify:artist:07YUOmWljBTXwIseAUd9TW, spotify:artist:7iK8PXO48WeuP03g8YR51W",21273759,2021-04-16
GLOBAL,14,8,3,2021-04-15,6,6,21241311,STREAMS,MOVED_DOWN,3,2021-04-15,RAPSTAR,spotify:track:43PGPuHIlVOc04jrZVh9L6,https://i.scdn.co/image/ab67616d00001e02a493e05c99d8ec5e8020ff2b,Polo G,spotify:artist:6AgTAQt8XS6jRWi4sX7w49,21241311,2021-06-11
GLOBAL,15,21,15,2021-05-20,2,2,20117260,STREAMS,MOVED_UP,21,2021-05-13,i n t e r l u d e,spotify:track:08LwMWf5Tcfsd752EPzFV0,https://i.scdn.co/image/ab67616d00001e0210e6745bb2f179dd3616b85f,J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,20117260,2021-05-14
GLOBAL,16,11,5,2021-04-29,4,4,19905105,STREAMS,MOVED_DOWN,5,2021-04-29,Save Your Tears (with Ariana Grande) (Remix),spotify:track:37BZB0z9T8Xu7U3e65qxFy,https://i.scdn.co/image/ab67616d00001e02c6af5ffa661a365b77df6ef6,"The Weeknd, Ariana Grande","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:66CXWjxzNUsdJxJ2JdwvnR",19905105,2021-04-23
GLOBAL,17,14,1,2021-01-14,19,19,19833615,STREAMS,MOVED_DOWN,1,2021-01-14,drivers license,spotify:track:7lPN2DXiMsVn7XUKtOW1CS,https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a,Olivia Rodrigo,spotify:artist:1McMsnEElThX1knmY4oliG,19833615,2021-05-21
GLOBAL,18,-1,18,2021-05-20,1,1,19610820,STREAMS,NEW_ENTRY,18,2021-05-20,9 5 . s o u t h,spotify:track:5R691ipUYRDYW6ehapjoj6,https://i.scdn.co/image/ab67616d00001e0210e6745bb2f179dd3616b85f,J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,19610820,2021-05-14
GLOBAL,19,13,13,2021-05-13,6,6,19361444,STREAMS,MOVED_DOWN,81,2021-04-15,AM,spotify:track:2dNhNlpZAtV4lwAFW45LIv,https://i.scdn.co/image/ab67616d00001e025b2e8f5aaaa06fe5bc60765e,"Nio Garcia, Flow La Movie","spotify:artist:5hdhHgpxyniooUiQVaPxQ0, spotify:artist:2oT7xd9iTO2ejLsNGIMa5f",19361444,2021-01-28
GLOBAL,20,17,17,2021-05-13,3,3,18311771,STREAMS,MOVED_DOWN,57,2021-05-06,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",spotify:track:6uvMKqNlrSvcC4NaKnrwjZ,https://i.scdn.co/image/ab67616d00001e02b8ea4b876287cbbb519ac0fc,"Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo","spotify:artist:7b79bQFziJFedJb75k6hFt, spotify:artist:3FoFW2AoUGRHBacC6i4x4p, spotify:artist:7m0BsF0t3K9WQFgKoPejfk, spotify:artist:63ebc5zUpJ36aoTDQJHa9B, spotify:artist:2uIRmVaCVpHQjaVgph5clS, spotify:artist:4Dokdwa3WB7ilQ2c2qvIBL, spotify:artist:5AiY4bxeXerLXx03JADdQv, spotify:artist:14CHVeJGrR5xgUGQFV5BVM, spotify:artist:4QSTyDpxsKmv3UfavVUImR",18311771,2021-04-22
GLOBAL,21,15,15,2021-05-13,13,13,17639674,STREAMS,MOVED_DOWN,98,2021-02-25,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,spotify:track:4cG7HUWYHBV6R6tHn1gxrl,https://i.scdn.co/image/ab67616d00001e02815cb538fd7821595b2bc8c5,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine","spotify:artist:7i9j813KFoSBMldGqlh2Z1, spotify:artist:1gALaWbNDnwS2ECV09sn2A, spotify:artist:4L2dV3zY7RmkeiNO035Fi0, spotify:artist:3Edve4VIATi0OZngclQlkN",17639674,2021-01-15
GLOBAL,22,9,4,2021-05-06,3,3,17553439,STREAMS,MOVED_DOWN,4,2021-05-06,Your Power,spotify:track:5qNh5WtzMbfpSj2jLlBkoD,https://i.scdn.co/image/ab67616d00001e022a038d3bf875d23e4aeaa84e,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,17553439,2021-07-30
GLOBAL,23,16,1,2020-02-27,77,77,17308057,STREAMS,MOVED_DOWN,7,2019-12-05,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://i.scdn.co/image/ab67616d00001e028863bc11d2aa12b54f5aeb36,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,17308057,2020-03-20
GLOBAL,24,18,8,2021-04-08,14,14,16652106,STREAMS,MOVED_DOWN,58,2021-02-18,Heartbreak Anniversary,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,https://i.scdn.co/image/ab67616d00001e023317fc12f8b9a9a0b8459766,Giveon,spotify:artist:4fxd5Ee7UefO4CUXgwJ7IP,16652106,2020-03-27
GLOBAL,25,-1,25,2021-05-20,1,1,15967986,STREAMS,NEW_ENTRY,25,2021-05-20,a p p l y i n g . p r e s s u r e,spotify:track:1d7q712nXjG98HiwHk7HFS,https://i.scdn.co/image/ab67616d00001e0210e6745bb2f179dd3616b85f,J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,15967986,2021-05-14
GLOBAL,26,20,2,2021-03-18,13,13,15691300,STREAMS,MOVED_DOWN,23,2021-02-25,telepatía,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,https://i.scdn.co/image/ab67616d00001e02044a5466dac00f7b3c570b99,Kali Uchis,spotify:artist:1U1el3k54VvEUzo3ybLPlM,15691300,2020-12-04
GLOBAL,27,-1,27,2021-05-20,1,1,15408703,STREAMS,NEW_ENTRY,27,2021-05-20,l e t . g o . m y . h a n d (with Bas & 6LACK),spotify:track:0GAyuCo975IHGxxiLKDufB,https://i.scdn.co/image/ab67616d00001e0210e6745bb2f179dd3616b85f,"J. Cole, Bas, 6LACK","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5, spotify:artist:70gP6Ry4Uo0Yx6uzPIdaiJ, spotify:artist:4IVAbR2w4JJNJDDRFP3E83",15408703,2021-05-14
