country,currentRank,previousRank,peakRank,peakDate,appearancesOnChart,consecutiveAppearancesOnChart,rankingMetricValue,rankingMetricType,entryStatus,entryRank,entryDate,trackName,trackUri,displayImageUri,artistName,artistSpotifyUri,Streams,releaseDate
GLOBAL,1,2,1,2024-01-11,5,5,34195950,STREAMS,MOVED_UP,69,2023-12-14,La Diabla,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,https://i.scdn.co/image/ab67616d00001e021501c770de50a22b25d67611,Xavi,spotify:artist:3Me35AWHCGqW4sZ7bWWJt1,34195950,2023-11-30
GLOBAL,2,1,1,2023-11-16,17,17,34059012,STREAMS,MOVED_DOWN,14,2023-09-21,greedy,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://i.scdn.co/image/ab67616d00001e0222fd802bc61db666c7c81aa8,Tate McRae,spotify:artist:45dkTj5sMRSjrmBSBeiHym,34059012,2023-09-15
GLOBAL,3,3,3,2024-01-04,9,9,32055608,STREAMS,NO_CHANGE,15,2023-11-16,Lovin On Me,spotify:track:4xhsWYTOGcal8zt0J161CU,https://i.scdn.co/image/ab67616d00001e02fcf4adae77baba5d0169e8e8,Jack Harlow,spotify:artist:2LIk90788K0zvyj2JJVwkJ,32055608,2023-11-10
GLOBAL,4,4,2,2023-07-06,49,43,28511866,STREAMS,NO_CHANGE,16,2019-08-29,Cruel Summer,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,28511866,2019-08-23
GLOBAL,5,6,5,2024-01-11,14,14,27400991,STREAMS,MOVED_UP,190,2023-10-12,"One Of The Girls (with JENNIE, Lily Rose Depp)",spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,https://i.scdn.co/image/ab67616d00001e02b0dd6a5cd1dec96c4119c262,"The Weeknd, JENNIE, Lily-Rose Depp","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:250b0Wlc5Vk0CoUsaCY84M, spotify:artist:1pBLC0qVRTB5zVMuteQ9jJ",27400991,2023-06-23
GLOBAL,6,5,3,2023-11-23,16,16,27354041,STREAMS,MOVED_DOWN,72,2023-09-28,My Love Mine All Mine,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,https://i.scdn.co/image/ab67616d00001e0234f21d3047d85440dfa37f10,Mitski,spotify:artist:2uYWxilOVlUdk4oV9DvwqK,27354041,2023-09-15
GLOBAL,7,11,7,2024-01-11,14,14,24788155,STREAMS,MOVED_UP,191,2023-10-12,Stick Season,spotify:track:0mflMxspEfB0VbI1kyLiAv,https://i.scdn.co/image/ab67616d00001e026ee35072df1af802cca09918,Noah Kahan,spotify:artist:2RQXRUsr4IW1f3mKyKsy4B,24788155,2022-10-14
GLOBAL,8,9,8,2024-01-11,7,7,23066551,STREAMS,MOVED_UP,178,2023-11-30,La Víctima,spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY,https://i.scdn.co/image/ab67616d00001e020e8dc9720dd03d86627fa54b,Xavi,spotify:artist:3Me35AWHCGqW4sZ7bWWJt1,23066551,2023-08-17
GLOBAL,9,7,1,2023-07-20,26,26,22294951,STREAMS,MOVED_DOWN,1,2023-07-20,Seven (feat. Latto) (Explicit Ver.),spotify:track:2HRgqmZQC0MC7GeNuDIXHN,https://i.scdn.co/image/ab67616d00001e02741fd4807f442af3f7359316,"Jung Kook, Latto","spotify:artist:6HaGTQPmzraVmaVxvz6EUc, spotify:artist:3MdXrJWsbVzdn6fe5JYkSQ",22294951,2023-11-03
GLOBAL,10,8,1,2023-09-14,23,23,22034792,STREAMS,MOVED_DOWN,22,2023-08-10,Paint The Town Red,spotify:track:56y1jOTK0XSvJzVv9vHQBK,https://i.scdn.co/image/ab67616d00001e02a840032f14ab22da396e43cb,Doja Cat,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,22034792,2023-09-20
