country,currentRank,previousRank,peakRank,peakDate,appearancesOnChart,consecutiveAppearancesOnChart,rankingMetricValue,rankingMetricType,entryStatus,entryRank,entryDate,trackName,trackUri,displayImageUri,artistName,artistSpotifyUri,Streams,releaseDate
GLOBAL,1,-1,1,2024-01-18,1,1,53885212,STREAMS,NEW_ENTRY,1,2024-01-18,"yes, and?",spotify:track:7gaA3wERFkFkgivjwbSvkG,https://i.scdn.co/image/ab67616d00001e026b0b6e20fdb1ee07de7e92d6,Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,53885212,2024-01-12
GLOBAL,2,1,1,2024-01-11,6,6,39408246,STREAMS,MOVED_DOWN,69,2023-12-14,La Diabla,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,https://i.scdn.co/image/ab67616d00001e021501c770de50a22b25d67611,Xavi,spotify:artist:3Me35AWHCGqW4sZ7bWWJt1,39408246,2023-11-30
GLOBAL,3,2,1,2023-11-16,18,18,35975632,STREAMS,MOVED_DOWN,14,2023-09-21,greedy,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://i.scdn.co/image/ab67616d00001e0222fd802bc61db666c7c81aa8,Tate McRae,spotify:artist:45dkTj5sMRSjrmBSBeiHym,35975632,2023-09-15
GLOBAL,4,3,3,2024-01-04,10,10,32562519,STREAMS,MOVED_DOWN,15,2023-11-16,Lovin On Me,spotify:track:4xhsWYTOGcal8zt0J161CU,https://i.scdn.co/image/ab67616d00001e02fcf4adae77baba5d0169e8e8,Jack Harlow,spotify:artist:2LIk90788K0zvyj2JJVwkJ,32562519,2023-11-10
GLOBAL,5,6,3,2023-11-23,17,17,31046339,STREAMS,MOVED_UP,72,2023-09-28,My Love Mine All Mine,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,https://i.scdn.co/image/ab67616d00001e0234f21d3047d85440dfa37f10,Mitski,spotify:artist:2uYWxilOVlUdk4oV9DvwqK,31046339,2023-09-15
GLOBAL,6,5,5,2024-01-11,15,15,30622284,STREAMS,MOVED_DOWN,190,2023-10-12,"One Of The Girls (with JENNIE, Lily Rose Depp)",spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,https://i.scdn.co/image/ab67616d00001e02b0dd6a5cd1dec96c4119c262,"The Weeknd, JENNIE, Lily-Rose Depp","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:250b0Wlc5Vk0CoUsaCY84M, spotify:artist:1pBLC0qVRTB5zVMuteQ9jJ",30622284,2023-06-23
GLOBAL,7,4,2,2023-07-06,50,44,30027194,STREAMS,MOVED_DOWN,16,2019-08-29,Cruel Summer,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,30027194,2019-08-23
GLOBAL,8,-1,8,2024-01-18,1,1,27008214,STREAMS,NEW_ENTRY,8,2024-01-18,redrum,spotify:track:52eIcoLUM25zbQupAZYoFh,https://i.scdn.co/image/ab67616d00001e02bbdceba2bf1867d4966d0347,21 Savage,spotify:artist:1URnnhqYAYcrqrcwql10ft,27008214,2024-01-12
GLOBAL,9,7,7,2024-01-11,15,15,26502009,STREAMS,MOVED_DOWN,191,2023-10-12,Stick Season,spotify:track:0mflMxspEfB0VbI1kyLiAv,https://i.scdn.co/image/ab67616d00001e026ee35072df1af802cca09918,Noah Kahan,spotify:artist:2RQXRUsr4IW1f3mKyKsy4B,26502009,2022-10-14
GLOBAL,10,8,8,2024-01-11,8,8,26072908,STREAMS,MOVED_DOWN,178,2023-11-30,La Víctima,spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY,https://i.scdn.co/image/ab67616d00001e020e8dc9720dd03d86627fa54b,Xavi,spotify:artist:3Me35AWHCGqW4sZ7bWWJt1,26072908,2023-08-17
GLOBAL,11,11,11,2024-01-11,6,6,25983678,STREAMS,NO_CHANGE,60,2023-12-14,LUNA,spotify:track:7bywjHOc0wSjGGbj04XbVi,https://i.scdn.co/image/ab67616d00001e02f1aad814a40ec7419c234242,"Feid, ATL Jacob","spotify:artist:2LRoIwlKmHjgvigdNGBHNo, spotify:artist:7jAs1uPnpfNmT6e5qtEPxq",25983678,2023-12-01
GLOBAL,12,-1,12,2024-01-18,1,1,23958763,STREAMS,NEW_ENTRY,12,2024-01-18,"Young Miko: Bzrp Music Sessions, Vol. 58",spotify:track:6VciS3dRMpZhJiDxT8ArFi,https://i.scdn.co/image/ab67616d00001e027b58409ef2fbbcd4d0f4ed05,"Bizarrap, Young Miko","spotify:artist:716NhGYqD1jl2wI1Qkgq36, spotify:artist:3qsKSpcV3ncke3hw52JSMB",23958763,2024-01-10
